                                     | Core 0     | Core 1     | Core 2     | Core 3     
  Instructions                       |  384051716 |  249999973 |  946431815 |  1338052913
  Cycles                             |  939384773 |  939381527 |  939384650 |   939384608
  IPC                                |       0.41 |       0.27 |       1.01 |        1.42
  Time (ns)                          |  313128258 |  313127176 |  313128217 |   313128203
Branch predictor stats               |            |            |            |            
  num correct                        |   30441427 |   40600608 |   46801786 |   107672092
  num incorrect                      |    2499014 |    2521753 |   37650768 |    18088394
  misprediction rate                 |      7.59% |      5.85% |     44.58% |      14.38%
  mpki                               |       6.51 |      10.09 |      39.78 |       13.52
TLB Summary                          |            |            |            |            
  I-TLB                              |            |            |            |            
    num accesses                     |   32335186 |   41868591 |   73592216 |   196074376
    num misses                       |         42 |          4 |         52 |          65
    miss rate                        |      0.00% |      0.00% |      0.00% |       0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |        0.00
  D-TLB                              |            |            |            |            
    num accesses                     |  105751119 |   75636447 |  274009762 |   641701368
    num misses                       |     520744 |      88470 |      14897 |     3582767
    miss rate                        |      0.49% |      0.12% |      0.01% |       0.56%
    mpki                             |       1.36 |       0.35 |       0.02 |        2.68
  L2 TLB                             |            |            |            |            
    num accesses                     |     520786 |      88474 |      14949 |     3582832
    num misses                       |     163956 |      88474 |      13163 |       22961
    miss rate                        |     31.48% |    100.00% |     88.05% |       0.64%
    mpki                             |       0.43 |       0.35 |       0.01 |        0.02
Cache Summary                        |            |            |            |            
  Cache L1-I                         |            |            |            |            
    num cache accesses               |   32335186 |   41868591 |   73592216 |   196074376
    num cache misses                 |      61523 |       7090 |      27607 |     6489350
    miss rate                        |      0.19% |      0.02% |      0.04% |       3.31%
    mpki                             |       0.16 |       0.03 |       0.03 |        4.85
  Cache L1-D                         |            |            |            |            
    num cache accesses               |  105751119 |   75636447 |  274009762 |   641701368
    num cache misses                 |    5677960 |    5663673 |     932469 |    21692336
    miss rate                        |      5.37% |      7.49% |      0.34% |       3.38%
    mpki                             |      14.78 |      22.65 |       0.99 |       16.21
  Cache L2                           |            |            |            |            
    num cache accesses               |    5769308 |    7690457 |    1004335 |    28190615
    num cache misses                 |    5312631 |    5670763 |     910690 |     4424319
    miss rate                        |     92.08% |     73.74% |     90.68% |      15.69%
    mpki                             |      13.83 |      22.68 |       0.96 |        3.31
  Cache L3                           |            |            |            |            
    num cache accesses               |    5342566 |    7690457 |     955586 |     4435235
    num cache misses                 |    4281395 |    5660106 |     904850 |      182123
    miss rate                        |     80.14% |     73.60% |     94.69% |       4.11%
    mpki                             |      11.15 |      22.64 |       0.96 |        0.14
DRAM summary                         |            |            |            |            
  num dram accesses                  |   13883121 |          0 |          0 |           0
  average dram access latency (ns)   |     117.28 |        inf |        inf |         inf
  average dram queueing delay        |       7.27 |       0.00 |       0.00 |        0.00
  average dram bandwidth utilization |     44.00% |      0.00% |      0.00% |       0.00%
Coherency Traffic                    |            |            |            |            
  num loads from dram                |          0 |          0 |          0 |           0
  num loads from dram cache          |          0 |          0 |          0 |           0
  num loads from remote cache        |          0 |          0 |          0 |           0
