                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   425631903 |   249999973 |  1148130612 |  1647634401
  Cycles                             |  1245333156 |  1245330729 |  1245333007 |  1245332876
  IPC                                |        0.34 |        0.20 |        0.92 |        1.32
  Time (ns)                          |   415111052 |   415110243 |   415111003 |   415110959
Branch predictor stats               |             |             |             |            
  num correct                        |    33801668 |    40600608 |    58441865 |   132567540
  num incorrect                      |     2781442 |     2521753 |    44890132 |    22243840
  misprediction rate                 |       7.60% |       5.85% |      43.44% |      14.37%
  mpki                               |        6.53 |       10.09 |       39.10 |       13.50
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    35447955 |    41868591 |    91292983 |   241421898
    num misses                       |          42 |           4 |          52 |          65
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   117373064 |    75636447 |   335126440 |   789970020
    num misses                       |      583404 |       88470 |       18381 |     4417941
    miss rate                        |       0.50% |       0.12% |       0.01% |       0.56%
    mpki                             |        1.37 |        0.35 |        0.02 |        2.68
  L2 TLB                             |             |             |             |            
    num accesses                     |      583446 |       88474 |       18433 |     4418006
    num misses                       |      182498 |       88474 |       16360 |       27799
    miss rate                        |      31.28% |     100.00% |      88.75% |       0.63%
    mpki                             |        0.43 |        0.35 |        0.01 |        0.02
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    35447955 |    41868591 |    91292983 |   241421898
    num cache misses                 |       49098 |        3697 |       24786 |     7178397
    miss rate                        |       0.14% |       0.01% |       0.03% |       2.97%
    mpki                             |        0.12 |        0.01 |        0.02 |        4.36
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   117373064 |    75636447 |   335126440 |   789970020
    num cache misses                 |     6311427 |     5662851 |     1136704 |    26052663
    miss rate                        |       5.38% |       7.49% |       0.34% |       3.30%
    mpki                             |       14.83 |       22.65 |        0.99 |       15.81
  Cache L2                           |             |             |             |            
    num cache accesses               |     6408579 |     7685780 |     1203135 |    33247053
    num cache misses                 |     5481347 |     5666548 |     1101092 |      463991
    miss rate                        |      85.53% |      73.73% |      91.52% |       1.40%
    mpki                             |       12.88 |       22.67 |        0.96 |        0.28
  Cache L3                           |             |             |             |            
    num cache accesses               |     5529527 |     7685780 |     1143770 |      483069
    num cache misses                 |     4348525 |     5661204 |     1098183 |      380331
    miss rate                        |      78.64% |      73.66% |      96.01% |      78.73%
    mpki                             |       10.22 |       22.64 |        0.96 |        0.23
DRAM summary                         |             |             |             |            
  num dram accesses                  |    14733200 |           0 |           0 |           0
  average dram access latency (ns)   |      170.00 |         inf |         inf |         inf
  average dram queueing delay        |       49.98 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      71.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
