                                     | Core 0     | Core 1     | Core 2     | Core 3     
  Instructions                       |  448576059 |  249999973 |  949066198 |  1276092902
  Cycles                             |  946154006 |  946151474 |  946153813 |   946153707
  IPC                                |       0.47 |       0.26 |       1.00 |        1.35
  Time (ns)                          |  315384669 |  315383825 |  315384605 |   315384569
Branch predictor stats               |            |            |            |            
  num correct                        |   35624122 |   40600608 |   47460348 |   102611341
  num incorrect                      |    2931228 |    2521753 |   37650771 |    17244398
  misprediction rate                 |      7.60% |      5.85% |     44.24% |      14.39%
  mpki                               |       6.53 |      10.09 |      39.67 |       13.51
TLB Summary                          |            |            |            |            
  I-TLB                              |            |            |            |            
    num accesses                     |   37325333 |   41868591 |   73592274 |   186936275
    num misses                       |         42 |          4 |         52 |          65
    miss rate                        |      0.00% |      0.00% |      0.00% |       0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |        0.00
  D-TLB                              |            |            |            |            
    num accesses                     |  123613224 |   75636447 |  274668393 |   611783634
    num misses                       |     615297 |      88470 |      15549 |     3415922
    miss rate                        |      0.50% |      0.12% |      0.01% |       0.56%
    mpki                             |       1.37 |       0.35 |       0.02 |        2.68
  L2 TLB                             |            |            |            |            
    num accesses                     |     615339 |      88474 |      15601 |     3415987
    num misses                       |     193072 |      88474 |      13813 |       21848
    miss rate                        |     31.38% |    100.00% |     88.54% |       0.64%
    mpki                             |       0.43 |       0.35 |       0.01 |        0.02
Cache Summary                        |            |            |            |            
  Cache L1-I                         |            |            |            |            
    num cache accesses               |   37325333 |   41868591 |   73592274 |   186936275
    num cache misses                 |      34120 |       1066 |      21451 |     5536159
    miss rate                        |      0.09% |      0.00% |      0.03% |       2.96%
    mpki                             |       0.08 |       0.00 |       0.02 |        4.34
  Cache L1-D                         |            |            |            |            
    num cache accesses               |  123613224 |   75636447 |  274668393 |   611783634
    num cache misses                 |    6668069 |    5662017 |     965452 |    20219433
    miss rate                        |      5.39% |      7.49% |      0.35% |       3.30%
    mpki                             |      14.86 |      22.65 |       1.02 |       15.84
  Cache L2                           |            |            |            |            
    num cache accesses               |    6752492 |    7682011 |    1025664 |    25771564
    num cache misses                 |    5571804 |    5663083 |     936529 |      364639
    miss rate                        |     82.51% |     73.72% |     91.31% |       1.41%
    mpki                             |      12.42 |      22.65 |       0.99 |        0.29
  Cache L3                           |            |            |            |            
    num cache accesses               |    5646873 |    7682011 |     976193 |      383419
    num cache misses                 |    4233268 |    5661601 |     936237 |      363649
    miss rate                        |     74.97% |     73.70% |     95.91% |      94.84%
    mpki                             |       9.44 |      22.65 |       0.99 |        0.28
DRAM summary                         |            |            |            |            
  num dram accesses                  |   14307342 |          0 |          0 |           0
  average dram access latency (ns)   |     117.90 |        inf |        inf |         inf
  average dram queueing delay        |       7.89 |       0.00 |       0.00 |        0.00
  average dram bandwidth utilization |     45.00% |      0.00% |      0.00% |       0.00%
Coherency Traffic                    |            |            |            |            
  num loads from dram                |          0 |          0 |          0 |           0
  num loads from dram cache          |          0 |          0 |          0 |           0
  num loads from remote cache        |          0 |          0 |          0 |           0
