                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |  1633586759 |   249999989 |   920744308 |  3892102200
  Cycles                             |  3959767729 |  3959762991 |  3959767435 |  3959767211
  IPC                                |        0.41 |        0.06 |        0.23 |        0.98
  Time (ns)                          |  1319922576 |  1319920997 |  1319922478 |  1319922404
Branch predictor stats               |             |             |             |            
  num correct                        |   129492512 |    43244780 |   155393817 |   422081837
  num incorrect                      |    10598730 |    11689069 |    14342947 |    64380588
  misprediction rate                 |       7.57% |      21.28% |       8.45% |      13.23%
  mpki                               |        6.49 |       46.76 |       15.58 |       16.54
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |   136948134 |    23761816 |   106912358 |   458225048
    num misses                       |          42 |           3 |          42 |          10
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   449636879 |    88558906 |   321208953 |  1748400494
    num misses                       |     2201662 |    21160771 |     5549723 |    17654044
    miss rate                        |       0.49% |      23.89% |       1.73% |       1.01%
    mpki                             |        1.35 |       84.64 |        6.03 |        4.54
  L2 TLB                             |             |             |             |            
    num accesses                     |     2201704 |    21160774 |     5549765 |    17654054
    num misses                       |      686389 |    10898785 |     1499017 |     1568318
    miss rate                        |      31.18% |      51.50% |      27.01% |       8.88%
    mpki                             |        0.42 |       43.60 |        1.63 |        0.40
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |   136948134 |    23761816 |   106912358 |   458225048
    num cache misses                 |      192481 |      134698 |       86537 |      177213
    miss rate                        |       0.14% |       0.57% |       0.08% |       0.04%
    mpki                             |        0.12 |        0.54 |        0.09 |        0.05
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   449636879 |    88558906 |   321208953 |  1748400494
    num cache misses                 |    24045778 |    28851033 |    37700874 |    56115369
    miss rate                        |       5.35% |      32.58% |      11.74% |       3.21%
    mpki                             |       14.72 |      115.40 |       40.95 |       14.42
  Cache L2                           |             |             |             |            
    num cache accesses               |    24448054 |    33001830 |    43061583 |    57029247
    num cache misses                 |    21104302 |    23107421 |    31134141 |    30768089
    miss rate                        |      86.32% |      70.02% |      72.30% |      53.95%
    mpki                             |       12.92 |       92.43 |       33.81 |        7.91
  Cache L3                           |             |             |             |            
    num cache accesses               |    21314622 |    27172373 |    36411305 |    31579363
    num cache misses                 |    16545529 |    21363567 |    26373752 |     7749529
    miss rate                        |      77.63% |      78.62% |      72.43% |      24.54%
    mpki                             |       10.13 |       85.45 |       28.64 |        1.99
DRAM summary                         |             |             |             |            
  num dram accesses                  |    91866985 |           0 |           0 |           0
  average dram access latency (ns)   |      135.65 |         inf |         inf |         inf
  average dram queueing delay        |       25.64 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      69.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
