                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |  1582578590 |   249999989 |   956622286 |  3840798948
  Cycles                             |  3900209087 |  3900205905 |  3900209266 |  3900209203
  IPC                                |        0.41 |        0.06 |        0.25 |        0.98
  Time (ns)                          |  1300069696 |  1300068635 |  1300069756 |  1300069735
Branch predictor stats               |             |             |             |            
  num correct                        |   125445545 |    43244780 |   161789175 |   416083232
  num incorrect                      |    10255786 |    11689069 |    14937778 |    63399135
  misprediction rate                 |       7.56% |      21.28% |       8.45% |      13.22%
  mpki                               |        6.48 |       46.76 |       15.62 |       16.51
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |   132966957 |    23761816 |   110940096 |   452103444
    num misses                       |          42 |           3 |          42 |          10
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   435511311 |    88558906 |   332450822 |  1726021611
    num misses                       |     2127563 |    21160317 |     5685674 |    17490394
    miss rate                        |       0.49% |      23.89% |       1.71% |       1.01%
    mpki                             |        1.34 |       84.64 |        5.94 |        4.55
  L2 TLB                             |             |             |             |            
    num accesses                     |     2127605 |    21160320 |     5685716 |    17490404
    num misses                       |      663335 |    10898509 |     1539472 |     1553778
    miss rate                        |      31.18% |      51.50% |      27.08% |       8.88%
    mpki                             |        0.42 |       43.59 |        1.61 |        0.40
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |   132966957 |    23761816 |   110940096 |   452103444
    num cache misses                 |      142509 |       74845 |       62977 |      101705
    miss rate                        |       0.11% |       0.31% |       0.06% |       0.02%
    mpki                             |        0.09 |        0.30 |        0.07 |        0.03
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   435511311 |    88558906 |   332450822 |  1726021611
    num cache misses                 |    23247896 |    28822056 |    38906268 |    55391893
    miss rate                        |       5.34% |      32.55% |      11.70% |       3.21%
    mpki                             |       14.69 |      115.29 |       40.67 |       14.42
  Cache L2                           |             |             |             |            
    num cache accesses               |    23590164 |    32846173 |    43994115 |    56302383
    num cache misses                 |    20035439 |    21576404 |    29408164 |    22220226
    miss rate                        |      84.93% |      65.69% |      66.85% |      39.47%
    mpki                             |       12.66 |       86.31 |       30.74 |        5.79
  Cache L3                           |             |             |             |            
    num cache accesses               |    20245670 |    25591145 |    34442424 |    23148624
    num cache misses                 |    16555150 |    20645970 |    25545001 |     7866431
    miss rate                        |      81.77% |      80.68% |      74.17% |      33.98%
    mpki                             |       10.46 |       82.58 |       26.70 |        2.05
DRAM summary                         |             |             |             |            
  num dram accesses                  |    90440310 |           0 |           0 |           0
  average dram access latency (ns)   |      136.48 |         inf |         inf |         inf
  average dram queueing delay        |       26.47 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      69.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
