                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |  1307338601 |   249999989 |   927486117 |   871840075
  Cycles                             |  3759110553 |  3759106735 |  3759110623 |  3759110655
  IPC                                |        0.35 |        0.07 |        0.25 |        0.23
  Time (ns)                          |  1253036851 |  1253035579 |  1253036875 |  1253036885
Branch predictor stats               |             |             |             |            
  num correct                        |   103625521 |    43244780 |   156371114 |   119834671
  num incorrect                      |     8463162 |    11689069 |    14461131 |    16468510
  misprediction rate                 |       7.55% |      21.28% |       8.47% |      12.08%
  mpki                               |        6.47 |       46.76 |       15.59 |       18.89
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |   109865116 |    23761816 |   107493229 |   152751271
    num misses                       |          42 |           3 |          42 |         105
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   359799510 |    88558906 |   323369460 |   406229657
    num misses                       |     1753294 |    21160473 |     5582143 |    15813981
    miss rate                        |       0.49% |      23.89% |       1.73% |       3.89%
    mpki                             |        1.34 |       84.64 |        6.02 |       18.14
  L2 TLB                             |             |             |             |            
    num accesses                     |     1753336 |    21160476 |     5582185 |    15814086
    num misses                       |      546037 |    10898425 |     1508127 |     4737691
    miss rate                        |      31.14% |      51.50% |      27.02% |      29.96%
    mpki                             |        0.42 |       43.59 |        1.63 |        5.43
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |   109865116 |    23761816 |   107493229 |   152751271
    num cache misses                 |      109447 |       55622 |       55786 |     1841441
    miss rate                        |       0.10% |       0.23% |       0.05% |       1.21%
    mpki                             |        0.08 |        0.22 |        0.06 |        2.11
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   359799510 |    88558906 |   323369460 |   406229657
    num cache misses                 |    19161136 |    28783858 |    37881786 |    22597548
    miss rate                        |       5.33% |      32.50% |      11.71% |       5.56%
    mpki                             |       14.66 |      115.14 |       40.84 |       25.92
  Cache L2                           |             |             |             |            
    num cache accesses               |    19442142 |    32637785 |    42384397 |    29302532
    num cache misses                 |    16382267 |    20529832 |    28246651 |    18590972
    miss rate                        |      84.26% |      62.90% |      66.64% |      63.44%
    mpki                             |       12.53 |       82.12 |       30.46 |       21.32
  Cache L3                           |             |             |             |            
    num cache accesses               |    16570348 |    24401565 |    32703790 |    23475796
    num cache misses                 |    16058994 |    18498530 |    23551628 |    16360909
    miss rate                        |      96.91% |      75.81% |      72.01% |      69.69%
    mpki                             |       12.28 |       73.99 |       25.39 |       18.77
DRAM summary                         |             |             |             |            
  num dram accesses                  |    95742831 |           0 |           0 |           0
  average dram access latency (ns)   |      136.65 |         inf |         inf |         inf
  average dram queueing delay        |       26.64 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      76.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
