                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |  2018458251 |   249999989 |   927926032 |   842436521
  Cycles                             |  4022958391 |  4022955041 |  4022958668 |  4022958603
  IPC                                |        0.50 |        0.06 |        0.23 |        0.21
  Time (ns)                          |  1340986130 |  1340985014 |  1340986223 |  1340986201
Branch predictor stats               |             |             |             |            
  num correct                        |   160036647 |    43244780 |   156478842 |   115919958
  num incorrect                      |    13081950 |    11689069 |    14467455 |    15902225
  misprediction rate                 |       7.56% |      21.28% |       8.46% |      12.06%
  mpki                               |        6.48 |       46.76 |       15.59 |       18.88
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |   169102490 |    23761816 |   107562938 |   147638038
    num misses                       |          42 |           3 |          42 |         101
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   555594271 |    88558906 |   323521349 |   392585034
    num misses                       |     2714810 |    21160644 |     5583702 |    15296678
    miss rate                        |       0.49% |      23.89% |       1.73% |       3.90%
    mpki                             |        1.34 |       84.64 |        6.02 |       18.16
  L2 TLB                             |             |             |             |            
    num accesses                     |     2714852 |    21160647 |     5583744 |    15296779
    num misses                       |      844298 |    10898723 |     1509118 |     4592758
    miss rate                        |      31.10% |      51.50% |      27.03% |      30.02%
    mpki                             |        0.42 |       43.59 |        1.63 |        5.45
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |   169102490 |    23761816 |   107562938 |   147638038
    num cache misses                 |      173533 |       77640 |       62235 |     2027256
    miss rate                        |       0.10% |       0.33% |       0.06% |       1.37%
    mpki                             |        0.09 |        0.31 |        0.07 |        2.41
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   555594271 |    88558906 |   323521349 |   392585034
    num cache misses                 |    29607433 |    28840387 |    37974968 |    22060449
    miss rate                        |       5.33% |      32.57% |      11.74% |       5.62%
    mpki                             |       14.67 |      115.36 |       40.92 |       26.19
  Cache L2                           |             |             |             |            
    num cache accesses               |    29967885 |    32892643 |    43239010 |    29410222
    num cache misses                 |    25250302 |    21567136 |    29055606 |    18913611
    miss rate                        |      84.26% |      65.57% |      67.20% |      64.31%
    mpki                             |       12.51 |       86.27 |       31.31 |       22.45
  Cache L3                           |             |             |             |            
    num cache accesses               |    25448179 |    25611360 |    34266086 |    24257148
    num cache misses                 |    14368715 |    20786346 |    25833098 |    17887759
    miss rate                        |      56.46% |      81.16% |      75.39% |      73.74%
    mpki                             |        7.12 |       83.15 |       27.84 |       21.23
DRAM summary                         |             |             |             |            
  num dram accesses                  |   101616923 |           0 |           0 |           0
  average dram access latency (ns)   |      137.03 |         inf |         inf |         inf
  average dram queueing delay        |       27.02 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      75.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
