                                     | Core 0     | Core 1     | Core 2      | Core 3    
  Instructions                       |  319430084 |  249999980 |  1119068671 |  953937764
  Cycles                             |  807871121 |  807867739 |   807870704 |  807870698
  IPC                                |       0.40 |       0.31 |        1.39 |       1.18
  Time (ns)                          |  269290374 |  269289246 |   269290235 |  269290233
Branch predictor stats               |            |            |             |           
  num correct                        |   25290236 |   42338506 |    90038745 |  143934865
  num incorrect                      |    2065125 |    3913322 |    15104077 |   16137536
  misprediction rate                 |      7.55% |      8.46% |      14.37% |     10.08%
  mpki                               |       6.47 |      15.65 |       13.50 |      16.92
TLB Summary                          |            |            |             |           
  I-TLB                              |            |            |             |           
    num accesses                     |   27129962 |   28960848 |   163960225 |  152673724
    num misses                       |         42 |         42 |          65 |       5806
    miss rate                        |      0.00% |      0.00% |       0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |        0.00 |       0.01
  D-TLB                              |            |            |             |           
    num accesses                     |   87908109 |   86565665 |   536524354 |  383809461
    num misses                       |     426866 |    1461853 |     2999036 |    2124255
    miss rate                        |      0.49% |      1.69% |       0.56% |      0.55%
    mpki                             |       1.34 |       5.85 |        2.68 |       2.23
  L2 TLB                             |            |            |             |           
    num accesses                     |     426908 |    1461895 |     2999101 |    2130061
    num misses                       |     134218 |     397327 |       18959 |     304567
    miss rate                        |     31.44% |     27.18% |       0.63% |     14.30%
    mpki                             |       0.42 |       1.59 |        0.02 |       0.32
Cache Summary                        |            |            |             |           
  Cache L1-I                         |            |            |             |           
    num cache accesses               |   27129962 |   28960848 |   163960225 |  152673724
    num cache misses                 |      51063 |      32722 |     5468435 |    2888661
    miss rate                        |      0.19% |      0.11% |       3.34% |      1.89%
    mpki                             |       0.16 |       0.13 |        4.89 |       3.03
  Cache L1-D                         |            |            |             |           
    num cache accesses               |   87908109 |   86565665 |   536524354 |  383809461
    num cache misses                 |    4691491 |   10104510 |    18136665 |    3570477
    miss rate                        |      5.34% |     11.67% |       3.38% |      0.93%
    mpki                             |      14.69 |      40.42 |       16.21 |       3.74
  Cache L2                           |            |            |             |           
    num cache accesses               |    4779119 |   11158332 |    23616667 |    6572425
    num cache misses                 |    4398448 |    8932806 |     3784585 |    3459293
    miss rate                        |     92.03% |     80.06% |      16.03% |     52.63%
    mpki                             |      13.77 |      35.73 |        3.38 |       3.63
  Cache L3                           |            |            |             |           
    num cache accesses               |    4435117 |    9954354 |     3798570 |    3573015
    num cache misses                 |    3747599 |    5459662 |      226232 |    1017095
    miss rate                        |     84.50% |     54.85% |       5.96% |     28.47%
    mpki                             |      11.73 |      21.84 |        0.20 |       1.07
DRAM summary                         |            |            |             |           
  num dram accesses                  |   12887002 |          0 |           0 |          0
  average dram access latency (ns)   |     119.90 |        inf |         inf |        inf
  average dram queueing delay        |       9.89 |       0.00 |        0.00 |       0.00
  average dram bandwidth utilization |     47.00% |      0.00% |       0.00% |      0.00%
Coherency Traffic                    |            |            |             |           
  num loads from dram                |          0 |          0 |           0 |          0
  num loads from dram cache          |          0 |          0 |           0 |          0
  num loads from remote cache        |          0 |          0 |           0 |          0
