                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   330881652 |   249999980 |  2416722473 |  1456186398
  Cycles                             |  2036985845 |  2036982424 |  2036985243 |  2036985742
  IPC                                |        0.16 |        0.12 |        1.19 |        0.71
  Time (ns)                          |   678995282 |   678994141 |   678995081 |   678995247
Branch predictor stats               |             |             |             |            
  num correct                        |    26214126 |    42338506 |   194424235 |   219657915
  num incorrect                      |     2143253 |     3913322 |    32636456 |    24657659
  misprediction rate                 |       7.56% |       8.46% |      14.37% |      10.09%
  mpki                               |        6.48 |       15.65 |       13.50 |       16.93
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    28134411 |    28960848 |   354093630 |   233098177
    num misses                       |          42 |          42 |          65 |        8721
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.01
  D-TLB                              |             |             |             |            
    num accesses                     |    91036429 |    86565665 |  1158735257 |   586233082
    num misses                       |      443123 |     1461708 |     6474905 |     3265914
    miss rate                        |       0.49% |       1.69% |       0.56% |       0.56%
    mpki                             |        1.34 |        5.85 |        2.68 |        2.24
  L2 TLB                             |             |             |             |            
    num accesses                     |      443165 |     1461750 |     6474970 |     3274635
    num misses                       |      140076 |      397350 |       40833 |      467844
    miss rate                        |      31.61% |      27.18% |       0.63% |      14.29%
    mpki                             |        0.42 |        1.59 |        0.02 |        0.32
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    28134411 |    28960848 |   354093630 |   233098177
    num cache misses                 |       37304 |       20930 |    10480766 |     4050069
    miss rate                        |       0.13% |       0.07% |       2.96% |       1.74%
    mpki                             |        0.11 |        0.08 |        4.34 |        2.78
  Cache L1-D                         |             |             |             |            
    num cache accesses               |    91036429 |    86565665 |  1158735257 |   586233082
    num cache misses                 |     4859653 |    10081480 |    38164395 |     5255757
    miss rate                        |       5.34% |      11.65% |       3.29% |       0.90%
    mpki                             |       14.69 |       40.33 |       15.79 |        3.61
  Cache L2                           |             |             |             |            
    num cache accesses               |     4936877 |    11063976 |    48663438 |     9495830
    num cache misses                 |     4230094 |     8223133 |      536390 |     2877180
    miss rate                        |      85.68% |      74.32% |       1.10% |      30.30%
    mpki                             |       12.78 |       32.89 |        0.22 |        1.98
  Cache L3                           |             |             |             |            
    num cache accesses               |     4270126 |     9185484 |      558400 |     3068702
    num cache misses                 |     3990161 |     5663354 |      425229 |     1689193
    miss rate                        |      93.44% |      61.66% |      76.15% |      55.05%
    mpki                             |       12.06 |       22.65 |        0.18 |        1.16
DRAM summary                         |             |             |             |            
  num dram accesses                  |    14457094 |           0 |           0 |           0
  average dram access latency (ns)   |      355.43 |         inf |         inf |         inf
  average dram queueing delay        |      215.39 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      85.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
