                                     | Core 0     | Core 1     | Core 2      | Core 3    
  Instructions                       |  631642046 |  249999980 |  1172522545 |  929629057
  Cycles                             |  952758387 |  952755839 |   952758105 |  952758155
  IPC                                |       0.66 |       0.26 |        1.23 |       0.98
  Time (ns)                          |  317586129 |  317585280 |   317586035 |  317586052
Branch predictor stats               |            |            |             |           
  num correct                        |   50080556 |   42338506 |    94375293 |  140410741
  num incorrect                      |    4101799 |    3913322 |    15828484 |   15704285
  misprediction rate                 |      7.57% |      8.46% |      14.36% |     10.06%
  mpki                               |       6.49 |      15.65 |       13.50 |      16.89
TLB Summary                          |            |            |             |           
  I-TLB                              |            |            |             |           
    num accesses                     |   53124086 |   28960848 |   171841045 |  148615342
    num misses                       |         42 |         42 |          65 |       5402
    miss rate                        |      0.00% |      0.00% |       0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |        0.00 |       0.01
  D-TLB                              |            |            |             |           
    num accesses                     |  173886727 |   86565665 |   562192855 |  372942619
    num misses                       |     852732 |    1462490 |     3148694 |    1974571
    miss rate                        |      0.49% |      1.69% |       0.56% |      0.53%
    mpki                             |       1.35 |       5.85 |        2.69 |       2.12
  L2 TLB                             |            |            |             |           
    num accesses                     |     852774 |    1462532 |     3148759 |    1979973
    num misses                       |     267193 |     397378 |       19574 |     285515
    miss rate                        |     31.33% |     27.17% |       0.62% |     14.42%
    mpki                             |       0.42 |       1.59 |        0.02 |       0.31
Cache Summary                        |            |            |             |           
  Cache L1-I                         |            |            |             |           
    num cache accesses               |   53124086 |   28960848 |   171841045 |  148615342
    num cache misses                 |      46346 |      12785 |     5170533 |    2483354
    miss rate                        |      0.09% |      0.04% |       3.01% |      1.67%
    mpki                             |       0.07 |       0.05 |        4.41 |       2.67
  Cache L1-D                         |            |            |             |           
    num cache accesses               |  173886727 |   86565665 |   562192855 |  372942619
    num cache misses                 |    9276013 |   10110340 |    18620643 |    3224947
    miss rate                        |      5.33% |     11.68% |       3.31% |      0.86%
    mpki                             |      14.69 |      40.44 |       15.88 |       3.47
  Cache L2                           |            |            |             |           
    num cache accesses               |    9370124 |   11498364 |    23817645 |    5895797
    num cache misses                 |    7743146 |    7164557 |      617279 |    1668409
    miss rate                        |     82.64% |     62.31% |       2.59% |     28.30%
    mpki                             |      12.26 |      28.66 |        0.53 |       1.79
  Cache L3                           |            |            |             |           
    num cache accesses               |    7803913 |    8562848 |      648317 |    1858823
    num cache misses                 |    3312412 |    6765072 |      617069 |    1624807
    miss rate                        |     42.45% |     79.00% |      95.18% |     87.41%
    mpki                             |       5.24 |      27.06 |        0.53 |       1.75
DRAM summary                         |            |            |             |           
  num dram accesses                  |   15492872 |          0 |           0 |          0
  average dram access latency (ns)   |     122.04 |        inf |         inf |        inf
  average dram queueing delay        |      12.03 |       0.00 |        0.00 |       0.00
  average dram bandwidth utilization |     48.00% |      0.00% |       0.00% |      0.00%
Coherency Traffic                    |            |            |             |           
  num loads from dram                |          0 |          0 |           0 |          0
  num loads from dram cache          |          0 |          0 |           0 |          0
  num loads from remote cache        |          0 |          0 |           0 |          0
