                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  5793655556 |  5539963285 |  4327664919 |  5062692555 |   960854657 |  1657080694 |  8501682710 |   249999989
  Cycles                             |  4705399836 |  4705399827 |  4705399831 |  4705399840 |  4705400533 |  4705399840 |  4705399827 |  4705398766
  IPC                                |        1.23 |        1.18 |        0.92 |        1.08 |        0.20 |        0.35 |        1.81 |        0.05
  Time (ns)                          |  1568466612 |  1568466609 |  1568466611 |  1568466614 |  1568466845 |  1568466614 |  1568466609 |  1568466256
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   513892954 |   599948762 |   557430302 |   288320759 |   162470855 |   100710886 |   391519074 |    43244780
  num incorrect                      |    85719250 |    91370284 |   130105625 |    48781774 |    15027745 |    60604537 |     3259535 |    11689069
  misprediction rate                 |      14.30% |      13.22% |      18.92% |      14.47% |       8.47% |      37.57% |       0.83% |      21.28%
  mpki                               |       14.80 |       16.49 |       30.06 |        9.64 |       15.64 |       36.57 |        0.38 |       46.76
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   657929840 |   652269564 |   606752913 |   568399112 |   111465940 |   197725671 |   650429366 |    23761816
    num misses                       |        1987 |          10 |         288 |          56 |          42 |          10 |          43 |           3
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  2422414406 |  2490058655 |  1690347900 |  2379554608 |   333639647 |   761984300 |  4892125811 |    88558906
    num misses                       |     1270083 |    25201430 |     3022873 |     1537342 |     5703482 |     5227800 |      660441 |    21161147
    miss rate                        |       0.05% |       1.01% |       0.18% |       0.06% |       1.71% |       0.69% |       0.01% |      23.89%
    mpki                             |        0.22 |        4.55 |        0.70 |        0.30 |        5.94 |        3.15 |        0.08 |       84.64
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     1272070 |    25201440 |     3023161 |     1537398 |     5703524 |     5227810 |      660484 |    21161150
    num misses                       |       40233 |     2228531 |      482131 |      242462 |     1543680 |     4154331 |      188780 |    10899073
    miss rate                        |       3.16% |       8.84% |      15.95% |      15.77% |      27.07% |      79.47% |      28.58% |      51.51%
    mpki                             |        0.01 |        0.40 |        0.11 |        0.05 |        1.61 |        2.51 |        0.02 |       43.60
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   657929840 |   652269564 |   606752913 |   568399112 |   111465940 |   197725671 |   650429366 |    23761816
    num cache misses                 |     9463395 |      542523 |    18979010 |     1868297 |      150595 |      120383 |      588686 |      275530
    miss rate                        |       1.44% |       0.08% |       3.13% |       0.33% |       0.14% |       0.06% |       0.09% |       1.16%
    mpki                             |        1.63 |        0.10 |        4.39 |        0.37 |        0.16 |        0.07 |        0.07 |        1.10
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  2422414406 |  2490058655 |  1690347900 |  2379554608 |   333639647 |   761984300 |  4892125811 |    88558906
    num cache misses                 |    22684073 |    79970545 |    21232551 |    15225703 |    39268411 |    12291983 |    45997254 |    29082043
    miss rate                        |       0.94% |       3.21% |       1.26% |       0.64% |      11.77% |       1.61% |       0.94% |      32.84%
    mpki                             |        3.92 |       14.44 |        4.91 |        3.01 |       40.87 |        7.42 |        5.41 |      116.33
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    32281966 |    81153016 |    41389818 |    17164601 |    45402910 |    14655274 |    46601155 |    33692549
    num cache misses                 |    13540818 |    56547228 |    18731236 |    13442665 |    35176020 |    11812524 |    32200535 |    26080244
    miss rate                        |      41.95% |      69.68% |      45.26% |      78.32% |      77.48% |      80.60% |      69.10% |      77.41%
    mpki                             |        2.34 |       10.21 |        4.33 |        2.66 |       36.61 |        7.13 |        3.79 |      104.32
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |    13678780 |    57195950 |    19913995 |    13517201 |    41161449 |    14096361 |    32216013 |    30439636
    num cache misses                 |     3077454 |     4638155 |     3658121 |     9483623 |    28827968 |    10643574 |     6107968 |    24459142
    miss rate                        |      22.50% |       8.11% |      18.37% |      70.16% |      70.04% |      75.51% |      18.96% |      80.35%
    mpki                             |        0.53 |        0.84 |        0.85 |        1.87 |       30.00 |        6.42 |        0.72 |       97.84
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |   124840587 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      156.53 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       46.52 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      79.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
