                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |  1807622411 |  1672038492 |   249999973 |  1006213616
  Cycles                             |  1297988400 |  1297988469 |  1297986427 |  1297988400
  IPC                                |        1.39 |        1.29 |        0.19 |        0.78
  Time (ns)                          |   432662800 |   432662823 |   432662142 |   432662800
Branch predictor stats               |             |             |             |            
  num correct                        |   160625472 |   134541898 |    40600608 |     1315582
  num incorrect                      |    26835192 |    22576654 |     2521753 |       22296
  misprediction rate                 |      14.32% |      14.37% |       5.85% |       1.67%
  mpki                               |       14.85 |       13.50 |       10.09 |        0.02
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |   205313751 |   245011193 |    41868591 |   115243927
    num misses                       |         681 |          65 |           4 |           6
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   755840746 |   801689019 |    75636447 |   752744807
    num misses                       |      394101 |     4484005 |       88470 |    27226104
    miss rate                        |       0.05% |       0.56% |       0.12% |       3.62%
    mpki                             |        0.22 |        2.68 |        0.35 |       27.06
  L2 TLB                             |             |             |             |            
    num accesses                     |      394782 |     4484070 |       88474 |    27226110
    num misses                       |       12610 |       28092 |       88474 |    19455070
    miss rate                        |       3.19% |       0.63% |     100.00% |      71.46%
    mpki                             |        0.01 |        0.02 |        0.35 |       19.33
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |   205313751 |   245011193 |    41868591 |   115243927
    num cache misses                 |     2525942 |     7277965 |        3610 |      214263
    miss rate                        |       1.23% |       2.97% |       0.01% |       0.19%
    mpki                             |        1.40 |        4.35 |        0.01 |        0.21
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   755840746 |   801689019 |    75636447 |   752744807
    num cache misses                 |     6773931 |    26431878 |     5661785 |     8255020
    miss rate                        |       0.90% |       3.30% |       7.49% |       1.10%
    mpki                             |        3.75 |       15.81 |       22.65 |        8.20
  Cache L2                           |             |             |             |            
    num cache accesses               |     9320490 |    33727222 |     7685089 |     8469632
    num cache misses                 |     1534583 |      464946 |     5665395 |     5718740
    miss rate                        |      16.46% |       1.38% |      73.72% |      67.52%
    mpki                             |        0.85 |        0.28 |       22.66 |        5.68
  Cache L3                           |             |             |             |            
    num cache accesses               |     1557178 |      485739 |     7685089 |     5719241
    num cache misses                 |      354445 |      375246 |     5660106 |     5291556
    miss rate                        |      22.76% |      77.25% |      73.65% |      92.52%
    mpki                             |        0.20 |        0.22 |       22.64 |        5.26
DRAM summary                         |             |             |             |            
  num dram accesses                  |    15454348 |           0 |           0 |           0
  average dram access latency (ns)   |      200.38 |         inf |         inf |         inf
  average dram queueing delay        |       80.36 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      71.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
