                                     | Core 0      | Core 1      | Core 2     | Core 3    
  Instructions                       |  1289821830 |  1291412380 |  249999973 |  920108059
  Cycles                             |   964920328 |   964920335 |  964918677 |  964920308
  IPC                                |        1.34 |        1.34 |       0.26 |       0.95
  Time (ns)                          |   321640109 |   321640112 |  321639559 |  321640103
Branch predictor stats               |             |             |            |           
  num correct                        |   114802520 |   103861190 |   40600608 |    1194917
  num incorrect                      |    19160534 |    17453785 |    2521753 |      20250
  misprediction rate                 |      14.30% |      14.39% |      5.85% |      1.67%
  mpki                               |       14.86 |       13.52 |      10.09 |       0.02
TLB Summary                          |             |             |            |           
  I-TLB                              |             |             |            |           
    num accesses                     |   146481746 |   189200691 |   41868591 |  105405447
    num misses                       |         511 |          65 |          4 |          6
    miss rate                        |       0.00% |       0.00% |      0.00% |      0.00%
    mpki                             |        0.00 |        0.00 |       0.00 |       0.00
  D-TLB                              |             |             |            |           
    num accesses                     |   539251007 |   619177296 |   75636447 |  688249158
    num misses                       |      277913 |     3456647 |      88470 |   24828893
    miss rate                        |       0.05% |       0.56% |      0.12% |      3.61%
    mpki                             |        0.22 |        2.68 |       0.35 |      26.98
  L2 TLB                             |             |             |            |           
    num accesses                     |      278424 |     3456712 |      88474 |   24828899
    num misses                       |        9004 |       22074 |      88474 |   17799679
    miss rate                        |       3.23% |       0.64% |    100.00% |     71.69%
    mpki                             |        0.01 |        0.02 |       0.35 |      19.35
Cache Summary                        |             |             |            |           
  Cache L1-I                         |             |             |            |           
    num cache accesses               |   146481746 |   189200691 |   41868591 |  105405447
    num cache misses                 |     1761602 |     5592715 |       1836 |      93985
    miss rate                        |       1.20% |       2.96% |      0.00% |      0.09%
    mpki                             |        1.37 |        4.33 |       0.01 |       0.10
  Cache L1-D                         |             |             |            |           
    num cache accesses               |   539251007 |   619177296 |   75636447 |  688249158
    num cache misses                 |     4844238 |    20486917 |    5660890 |    7509248
    miss rate                        |       0.90% |       3.31% |      7.48% |      1.09%
    mpki                             |        3.76 |       15.86 |      22.64 |       8.16
  Cache L2                           |             |             |            |           
    num cache accesses               |     6644456 |    26096459 |    7682420 |    7603844
    num cache misses                 |      755346 |      375720 |    5662726 |    5054153
    miss rate                        |      11.37% |       1.44% |     73.71% |     66.47%
    mpki                             |        0.59 |        0.29 |      22.65 |       5.49
  Cache L3                           |             |             |            |           
    num cache accesses               |      800893 |      395701 |    7682420 |    5054878
    num cache misses                 |      647556 |      371588 |    5660106 |    4816174
    miss rate                        |      80.85% |      93.91% |     73.68% |     95.28%
    mpki                             |        0.50 |        0.29 |      22.64 |       5.23
DRAM summary                         |             |             |            |           
  num dram accesses                  |    15227777 |           0 |          0 |          0
  average dram access latency (ns)   |      127.91 |         inf |        inf |        inf
  average dram queueing delay        |       17.90 |        0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      47.00% |       0.00% |      0.00% |      0.00%
Coherency Traffic                    |             |             |            |           
  num loads from dram                |           0 |           0 |          0 |          0
  num loads from dram cache          |           0 |           0 |          0 |          0
  num loads from remote cache        |           0 |           0 |          0 |          0
