                                     | Core 0      | Core 1      | Core 2     | Core 3    
  Instructions                       |  1353748147 |  1343181877 |  249999973 |  916171072
  Cycles                             |   960188844 |   960188868 |  960187784 |  960188845
  IPC                                |        1.41 |        1.40 |       0.26 |       0.95
  Time (ns)                          |   320062948 |   320062956 |  320062595 |  320062949
Branch predictor stats               |             |             |            |           
  num correct                        |   120537691 |   108067214 |   40600608 |    1192289
  num incorrect                      |    20217946 |    18150936 |    2521753 |      20206
  misprediction rate                 |      14.36% |      14.38% |      5.85% |      1.67%
  mpki                               |       14.93 |       13.51 |      10.09 |       0.02
TLB Summary                          |             |             |            |           
  I-TLB                              |             |             |            |           
    num accesses                     |   153881253 |   196806220 |   41868591 |  104947244
    num misses                       |         534 |          65 |          4 |          6
    miss rate                        |       0.00% |       0.00% |      0.00% |      0.00%
    mpki                             |        0.00 |        0.00 |       0.00 |       0.00
  D-TLB                              |             |             |            |           
    num accesses                     |   566196203 |   644095463 |   75636447 |  685328928
    num misses                       |      298199 |     3595857 |      88470 |   24767987
    miss rate                        |       0.05% |       0.56% |      0.12% |      3.61%
    mpki                             |        0.22 |        2.68 |       0.35 |      27.03
  L2 TLB                             |             |             |            |           
    num accesses                     |      298733 |     3595922 |      88474 |   24767993
    num misses                       |        9491 |       22985 |      88474 |   17759449
    miss rate                        |       3.18% |       0.64% |    100.00% |     71.70%
    mpki                             |        0.01 |        0.02 |       0.35 |      19.38
Cache Summary                        |             |             |            |           
  Cache L1-I                         |             |             |            |           
    num cache accesses               |   153881253 |   196806220 |   41868591 |  104947244
    num cache misses                 |     2131742 |     6532839 |       7090 |     443007
    miss rate                        |       1.39% |       3.32% |      0.02% |      0.42%
    mpki                             |        1.57 |        4.86 |       0.03 |       0.48
  Cache L1-D                         |             |             |            |           
    num cache accesses               |   566196203 |   644095463 |   75636447 |  685328928
    num cache misses                 |     5040785 |    21777910 |    5663673 |    7538673
    miss rate                        |       0.89% |       3.38% |      7.49% |      1.10%
    mpki                             |        3.72 |       16.21 |      22.65 |       8.23
  Cache L2                           |             |             |            |           
    num cache accesses               |     7192939 |    28321613 |    7690457 |    7982040
    num cache misses                 |     2862114 |     4488065 |    5670763 |    5589479
    miss rate                        |      39.79% |      15.85% |     73.74% |     70.03%
    mpki                             |        2.11 |        3.34 |      22.68 |       6.10
  Cache L3                           |             |             |            |           
    num cache accesses               |     2882937 |     4501374 |    7690457 |    5589953
    num cache misses                 |      401023 |      230953 |    5660106 |    4822211
    miss rate                        |      13.91% |       5.13% |     73.60% |     86.27%
    mpki                             |        0.30 |        0.17 |      22.64 |       5.26
DRAM summary                         |             |             |            |           
  num dram accesses                  |    14716519 |           0 |          0 |          0
  average dram access latency (ns)   |      126.76 |         inf |        inf |        inf
  average dram queueing delay        |       16.75 |        0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      46.00% |       0.00% |      0.00% |      0.00%
Coherency Traffic                    |             |             |            |           
  num loads from dram                |           0 |           0 |          0 |          0
  num loads from dram cache          |           0 |           0 |          0 |          0
  num loads from remote cache        |           0 |           0 |          0 |          0
