                                     | Core 0      | Core 1      | Core 2     | Core 3    
  Instructions                       |  1467167497 |  1379928358 |  249999973 |  734226961
  Cycles                             |   973624062 |   973624020 |  973621717 |  973624192
  IPC                                |        1.51 |        1.42 |       0.26 |       0.75
  Time (ns)                          |   324541354 |   324541340 |  324540572 |  324541397
Branch predictor stats               |             |             |            |           
  num correct                        |   129357058 |   111024388 |   40600608 |     952988
  num incorrect                      |    21588298 |    18626217 |    2521753 |      16151
  misprediction rate                 |      14.30% |      14.37% |      5.85% |      1.67%
  mpki                               |       14.71 |       13.50 |      10.09 |       0.02
TLB Summary                          |             |             |            |           
  I-TLB                              |             |             |            |           
    num accesses                     |   166405979 |   202186241 |   41868591 |   84112875
    num misses                       |         575 |          65 |          4 |          6
    miss rate                        |       0.00% |       0.00% |      0.00% |      0.00%
    mpki                             |        0.00 |        0.00 |       0.00 |       0.00
  D-TLB                              |             |             |            |           
    num accesses                     |   614059680 |   661606094 |   75636447 |  549203214
    num misses                       |      326849 |     3699494 |      88470 |   19753300
    miss rate                        |       0.05% |       0.56% |      0.12% |      3.60%
    mpki                             |        0.22 |        2.68 |       0.35 |      26.90
  L2 TLB                             |             |             |            |           
    num accesses                     |      327424 |     3699559 |      88474 |   19753306
    num misses                       |       10524 |       23332 |      88474 |   14117274
    miss rate                        |       3.21% |       0.63% |    100.00% |     71.47%
    mpki                             |        0.01 |        0.02 |       0.35 |      19.23
Cache Summary                        |             |             |            |           
  Cache L1-I                         |             |             |            |           
    num cache accesses               |   166405979 |   202186241 |   41868591 |   84112875
    num cache misses                 |     2007987 |     5971317 |       5402 |     501772
    miss rate                        |       1.21% |       2.95% |      0.01% |      0.60%
    mpki                             |        1.37 |        4.33 |       0.02 |       0.68
  Cache L1-D                         |             |             |            |           
    num cache accesses               |   614059680 |   661606094 |   75636447 |  549203214
    num cache misses                 |     5567028 |    21812991 |    5663967 |    6146965
    miss rate                        |       0.91% |       3.30% |      7.49% |      1.12%
    mpki                             |        3.79 |       15.81 |      22.66 |       8.37
  Cache L2                           |             |             |            |           
    num cache accesses               |     7581776 |    27793444 |    7688970 |    6698856
    num cache misses                 |      332575 |      227675 |    5669369 |    5153480
    miss rate                        |       4.39% |       0.82% |     73.73% |     76.93%
    mpki                             |        0.23 |        0.16 |      22.68 |       7.02
  Cache L3                           |             |             |            |           
    num cache accesses               |      340483 |      238908 |    7688970 |    5203666
    num cache misses                 |      108845 |      217829 |    5666102 |    5129730
    miss rate                        |      31.97% |      91.18% |     73.69% |     98.58%
    mpki                             |        0.07 |        0.16 |      22.66 |       6.99
DRAM summary                         |             |             |            |           
  num dram accesses                  |    14425675 |           0 |          0 |          0
  average dram access latency (ns)   |      125.86 |         inf |        inf |        inf
  average dram queueing delay        |       15.85 |        0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      44.00% |       0.00% |      0.00% |      0.00%
Coherency Traffic                    |             |             |            |           
  num loads from dram                |           0 |           0 |          0 |          0
  num loads from dram cache          |           0 |           0 |          0 |          0
  num loads from remote cache        |           0 |           0 |          0 |          0
