                                     | Core 0      | Core 1      | Core 2     | Core 3    
  Instructions                       |  1297267376 |  1277637394 |  249999973 |  920679907
  Cycles                             |   966112595 |   966112606 |  966110503 |  966112569
  IPC                                |        1.34 |        1.32 |       0.26 |       0.95
  Time (ns)                          |   322037532 |   322037536 |  322036835 |  322037523
Branch predictor stats               |             |             |            |           
  num correct                        |   115501644 |   102736610 |   40600608 |    1195298
  num incorrect                      |    19278434 |    17265533 |    2521753 |      20258
  misprediction rate                 |      14.30% |      14.39% |      5.85% |      1.67%
  mpki                               |       14.86 |       13.51 |      10.09 |       0.02
TLB Summary                          |             |             |            |           
  I-TLB                              |             |             |            |           
    num accesses                     |   147351280 |   187164224 |   41868591 |  105471998
    num misses                       |         511 |          65 |          4 |          6
    miss rate                        |       0.00% |       0.00% |      0.00% |      0.00%
    mpki                             |        0.00 |        0.00 |       0.00 |       0.00
  D-TLB                              |             |             |            |           
    num accesses                     |   542366488 |   612525398 |   75636447 |  688673362
    num misses                       |      279163 |     3420182 |      88470 |   24839191
    miss rate                        |       0.05% |       0.56% |      0.12% |      3.61%
    mpki                             |        0.22 |        2.68 |       0.35 |      26.98
  L2 TLB                             |             |             |            |           
    num accesses                     |      279674 |     3420247 |      88474 |   24839197
    num misses                       |        9033 |       21866 |      88474 |   17818842
    miss rate                        |       3.23% |       0.64% |    100.00% |     71.74%
    mpki                             |        0.01 |        0.02 |       0.35 |      19.35
Cache Summary                        |             |             |            |           
  Cache L1-I                         |             |             |            |           
    num cache accesses               |   147351280 |   187164224 |   41868591 |  105471998
    num cache misses                 |     1784047 |     5568818 |       2475 |      94048
    miss rate                        |       1.21% |       2.98% |      0.01% |      0.09%
    mpki                             |        1.38 |        4.36 |       0.01 |       0.10
  Cache L1-D                         |             |             |            |           
    num cache accesses               |   542366488 |   612525398 |   75636447 |  688673362
    num cache misses                 |     4860619 |    20272071 |    5664242 |    7512930
    miss rate                        |       0.90% |       3.31% |      7.49% |      1.09%
    mpki                             |        3.75 |       15.87 |      22.66 |       8.16
  Cache L2                           |             |             |            |           
    num cache accesses               |     6682423 |    25860156 |    7686120 |    7607799
    num cache misses                 |      731719 |      458906 |    5666718 |    5056390
    miss rate                        |      10.95% |       1.77% |     73.73% |     66.46%
    mpki                             |        0.56 |        0.36 |      22.67 |       5.49
  Cache L3                           |             |             |            |           
    num cache accesses               |      775090 |      481513 |    7686120 |    5057329
    num cache misses                 |      626297 |      453632 |    5664229 |    4761665
    miss rate                        |      80.80% |      94.21% |     73.69% |     94.15%
    mpki                             |        0.48 |        0.36 |      22.66 |       5.17
DRAM summary                         |             |             |            |           
  num dram accesses                  |    15231565 |           0 |          0 |          0
  average dram access latency (ns)   |      127.56 |         inf |        inf |        inf
  average dram queueing delay        |       17.55 |        0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      47.00% |       0.00% |      0.00% |      0.00%
Coherency Traffic                    |             |             |            |           
  num loads from dram                |           0 |           0 |          0 |          0
  num loads from dram cache          |           0 |           0 |          0 |          0
  num loads from remote cache        |           0 |           0 |          0 |          0
