                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  967472366 |  808634868 |  249999973 |  874362191
  Cycles                             |  996291676 |  996291604 |  996289568 |  996291601
  IPC                                |       0.97 |       0.81 |       0.25 |       0.88
  Time (ns)                          |  332097226 |  332097202 |  332096523 |  332097201
Branch predictor stats               |            |            |            |           
  num correct                        |   85089821 |   65070577 |   40600608 |    1137049
  num incorrect                      |   14206013 |   10940786 |    2521753 |      19270
  misprediction rate                 |     14.31% |     14.39% |      5.85% |      1.67%
  mpki                               |      14.68 |      13.53 |      10.09 |       0.02
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |  109666783 |  118512426 |   41868591 |  100160451
    num misses                       |        411 |         65 |          4 |          6
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  405121108 |  387813598 |   75636447 |  654046179
    num misses                       |     216731 |    2165123 |      88470 |   23646576
    miss rate                        |      0.05% |      0.56% |      0.12% |      3.62%
    mpki                             |       0.22 |       2.68 |       0.35 |      27.04
  L2 TLB                             |            |            |            |           
    num accesses                     |     217142 |    2165188 |      88474 |   23646582
    num misses                       |       7057 |      13880 |      88474 |   16945002
    miss rate                        |      3.25% |      0.64% |    100.00% |     71.66%
    mpki                             |       0.01 |       0.02 |       0.35 |      19.38
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |  109666783 |  118512426 |   41868591 |  100160451
    num cache misses                 |    1610752 |    3763479 |       3683 |     224507
    miss rate                        |      1.47% |      3.18% |      0.01% |      0.22%
    mpki                             |       1.66 |       4.65 |       0.01 |       0.26
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  405121108 |  387813598 |   75636447 |  654046179
    num cache misses                 |    3963733 |   13265848 |    5662686 |    7267855
    miss rate                        |      0.98% |      3.42% |      7.49% |      1.11%
    mpki                             |       4.10 |      16.41 |      22.65 |       8.31
  Cache L2                           |            |            |            |           
    num cache accesses               |    5695368 |   17127760 |    7685762 |    7501184
    num cache misses                 |    1915271 |    1668270 |    5666369 |    5182807
    miss rate                        |     33.63% |      9.74% |     73.73% |     69.09%
    mpki                             |       1.98 |       2.06 |      22.67 |       5.93
  Cache L3                           |            |            |            |           
    num cache accesses               |    2057478 |    1777305 |    7685762 |    5191753
    num cache misses                 |    1776525 |    1580945 |    5661442 |    4944759
    miss rate                        |     86.34% |     88.95% |     73.66% |     95.24%
    mpki                             |       1.84 |       1.96 |      22.65 |       5.66
DRAM summary                         |            |            |            |           
  num dram accesses                  |   18274894 |          0 |          0 |          0
  average dram access latency (ns)   |     135.66 |        inf |        inf |        inf
  average dram queueing delay        |      25.65 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     55.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
