                                     | Core 0      | Core 1      | Core 2     | Core 3    
  Instructions                       |  1454437529 |  1428843494 |  249999973 |  914182249
  Cycles                             |   951155271 |   951155278 |  951154418 |  951155270
  IPC                                |        1.53 |        1.50 |       0.26 |       0.96
  Time (ns)                          |   317051757 |   317051760 |  317051473 |  317051757
Branch predictor stats               |             |             |            |           
  num correct                        |   128014794 |   114974812 |   40600608 |    1190962
  num incorrect                      |    21363141 |    19292032 |    2521753 |      20184
  misprediction rate                 |      14.30% |      14.37% |      5.85% |      1.67%
  mpki                               |       14.69 |       13.50 |      10.09 |       0.02
TLB Summary                          |             |             |            |           
  I-TLB                              |             |             |            |           
    num accesses                     |   164883156 |   209381244 |   41868591 |  104715781
    num misses                       |         572 |          65 |          4 |          6
    miss rate                        |       0.00% |       0.00% |      0.00% |      0.00%
    mpki                             |        0.00 |        0.00 |       0.00 |       0.00
  D-TLB                              |             |             |            |           
    num accesses                     |   608950550 |   685065620 |   75636447 |  683853812
    num misses                       |      325436 |     3833497 |      88470 |   24738365
    miss rate                        |       0.05% |       0.56% |      0.12% |      3.62%
    mpki                             |        0.22 |        2.68 |       0.35 |      27.06
  L2 TLB                             |             |             |            |           
    num accesses                     |      326008 |     3833562 |      88474 |   24738371
    num misses                       |       10451 |       23881 |      88474 |   17743609
    miss rate                        |       3.21% |       0.62% |    100.00% |     71.73%
    mpki                             |        0.01 |        0.02 |       0.35 |      19.41
Cache Summary                        |             |             |            |           
  Cache L1-I                         |             |             |            |           
    num cache accesses               |   164883156 |   209381244 |   41868591 |  104715781
    num cache misses                 |     2280501 |     6911088 |       7090 |     442471
    miss rate                        |       1.38% |       3.30% |      0.02% |      0.42%
    mpki                             |        1.57 |        4.84 |       0.03 |       0.48
  Cache L1-D                         |             |             |            |           
    num cache accesses               |   608950550 |   685065620 |   75636447 |  683853812
    num cache misses                 |     5586821 |    23036546 |    5663673 |    7526084
    miss rate                        |       0.92% |       3.36% |      7.49% |      1.10%
    mpki                             |        3.84 |       16.12 |      22.65 |       8.23
  Cache L2                           |             |             |            |           
    num cache accesses               |     7868369 |    29948140 |    7690457 |    7969456
    num cache misses                 |     3096967 |     4450401 |    5670763 |    5582252
    miss rate                        |      39.36% |      14.86% |     73.74% |     70.05%
    mpki                             |        2.13 |        3.11 |      22.68 |       6.11
  Cache L3                           |             |             |            |           
    num cache accesses               |     3098015 |     4451047 |    7690457 |    5583271
    num cache misses                 |       32350 |       15957 |    5660106 |    4768275
    miss rate                        |       1.04% |       0.36% |     73.60% |     85.40%
    mpki                             |        0.02 |        0.01 |      22.64 |       5.22
DRAM summary                         |             |             |            |           
  num dram accesses                  |    13922518 |           0 |          0 |          0
  average dram access latency (ns)   |      123.44 |         inf |        inf |        inf
  average dram queueing delay        |       13.43 |        0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      43.00% |       0.00% |      0.00% |      0.00%
Coherency Traffic                    |             |             |            |           
  num loads from dram                |           0 |           0 |          0 |          0
  num loads from dram cache          |           0 |           0 |          0 |          0
  num loads from remote cache        |           0 |           0 |          0 |          0
