                                     | Core 0      | Core 1       | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |  1127381216 |  10633023086 |   420397337 |  8329084217 |   450782362 |  8566976670 |  3775368365 |   673842270 |   827120537 |  1698796253 |  1050135962 |  3889782298 |   249999981 |   662432156 |  9864003931 |  7563165974
  Cycles                             |  5754497868 |   5754497520 |  5754498246 |  5754497520 |  5754498082 |  5754497527 |  5754497520 |  5754498129 |  5754498312 |  5754497650 |  5754498655 |  5754497520 |  5754495445 |  5754498004 |  5754497519 |  5754497520
  IPC                                |        0.20 |         1.85 |        0.07 |        1.45 |        0.08 |        1.49 |        0.66 |        0.12 |        0.14 |        0.30 |        0.18 |        0.68 |        0.04 |        0.12 |        1.71 |        1.31
  Time (ns)                          |  1918165956 |   1918165840 |  1918166082 |  1918165840 |  1918166027 |  1918165842 |  1918165840 |  1918166043 |  1918166104 |  1918165883 |  1918166218 |  1918165840 |  1918165148 |  1918166001 |  1918165840 |  1918165840
Branch predictor stats               |             |              |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    60747848 |   1962329748 |    69470419 |   738624229 |    61973655 |  1142515124 |   569312222 |   113451960 |     7503183 |    38933781 |    34851105 |   208694605 |    58565837 |    12388254 |   657283611 |   333502672
  num incorrect                      |     1420951 |    133867837 |     4400563 |   123275682 |     8531311 |   115169530 |    64032963 |    10506984 |       50248 |      693675 |    16369079 |   148038193 |     6500447 |    17224754 |   112824217 |    18937627
  misprediction rate                 |       2.29% |        6.39% |       5.96% |      14.30% |      12.10% |       9.16% |      10.11% |       8.48% |       0.67% |       1.75% |      31.96% |      41.50% |       9.99% |      58.17% |      14.65% |       5.37%
  mpki                               |        1.26 |        12.59 |       10.47 |       14.80 |       18.93 |       13.44 |       16.96 |       15.59 |        0.06 |        0.41 |       15.59 |       38.06 |       26.00 |       26.00 |       11.44 |        2.50
TLB Summary                          |             |              |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |              |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   113102582 |   1743549696 |    70520111 |   945912517 |    78958263 |  1283062676 |   604544392 |    78275711 |    73101700 |   152074230 |    82079293 |   316280138 |    21135842 |    72102060 |  1196891047 |   720619518
