                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  275916333 |  325356143 |  249999876 |  441111692
  Cycles                             |  504781013 |  504780889 |  504778626 |  504780702
  IPC                                |       0.55 |       0.64 |       0.50 |       0.87
  Time (ns)                          |  168260338 |  168260296 |  168259542 |  168260234
Branch predictor stats               |            |            |            |           
  num correct                        |   15377592 |   49009367 |    8515508 |     571147
  num incorrect                      |     358868 |   10879225 |    3973583 |       9680
  misprediction rate                 |      2.28% |     18.17% |     31.82% |      1.67%
  mpki                               |       1.30 |      33.44 |      15.89 |       0.02
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   28296471 |   45294388 |   19582128 |   50537679
    num misses                       |         47 |        140 |          3 |          6
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   96319290 |  126716248 |  107816592 |  329938529
    num misses                       |     155207 |     677336 |     111236 |   11890489
    miss rate                        |      0.16% |      0.53% |      0.10% |      3.60%
    mpki                             |       0.56 |       2.08 |       0.44 |      26.96
  L2 TLB                             |            |            |            |           
    num accesses                     |     155254 |     677476 |     111239 |   11890495
    num misses                       |      49167 |      56906 |      76686 |    8545377
    miss rate                        |     31.67% |      8.40% |     68.94% |     71.87%
    mpki                             |       0.18 |       0.17 |       0.31 |      19.37
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   28296471 |   45294388 |   19582128 |   50537679
    num cache misses                 |      26877 |    2764720 |      32189 |     219711
    miss rate                        |      0.09% |      6.10% |      0.16% |      0.43%
    mpki                             |       0.10 |       8.50 |       0.13 |       0.50
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   96319290 |  126716248 |  107816592 |  329938529
    num cache misses                 |    3513831 |    2520360 |    5547548 |    3625046
    miss rate                        |      3.65% |      1.99% |      5.15% |      1.10%
    mpki                             |      12.74 |       7.75 |      22.19 |       8.22
  Cache L2                           |            |            |            |           
    num cache accesses               |    4050830 |    5406688 |    5978983 |    3845960
    num cache misses                 |    2952383 |    2523738 |    5007437 |    2709359
    miss rate                        |     72.88% |     46.68% |     83.75% |     70.45%
    mpki                             |      10.70 |       7.76 |      20.03 |       6.14
  Cache L3                           |            |            |            |           
    num cache accesses               |    3470449 |    2645692 |    5406683 |    2710602
    num cache misses                 |    2619245 |     733958 |    4949929 |    2252846
    miss rate                        |     75.47% |     27.74% |     91.55% |     83.11%
    mpki                             |       9.49 |       2.26 |      19.80 |       5.11
DRAM summary                         |            |            |            |           
  num dram accesses                  |   13069692 |          0 |          0 |          0
  average dram access latency (ns)   |     146.70 |        inf |        inf |        inf
  average dram queueing delay        |      36.69 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     77.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
