                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   615851473 |   714962209 |   375764300 |   249999973
  Cycles                             |  1177691890 |  1177692009 |  1177691707 |  1177689082
  IPC                                |        0.52 |        0.61 |        0.32 |        0.21
  Time (ns)                          |   392563963 |   392564003 |   392563902 |   392563027
Branch predictor stats               |             |             |             |            
  num correct                        |    33089538 |   107508963 |     7121107 |    40600608
  num incorrect                      |      774163 |    24058012 |     9899186 |     2521753
  misprediction rate                 |       2.29% |      18.29% |      58.16% |       5.85%
  mpki                               |        1.26 |       33.65 |       26.34 |       10.09
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    61686780 |    99754161 |    41370792 |    41868591
    num misses                       |          47 |         204 |          14 |           4
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   215119513 |   278129681 |   138438109 |    75636447
    num misses                       |      338131 |     1481132 |      991284 |       88470
    miss rate                        |       0.16% |       0.53% |       0.72% |       0.12%
    mpki                             |        0.55 |        2.07 |        2.64 |        0.35
  L2 TLB                             |             |             |             |            
    num accesses                     |      338178 |     1481336 |      991298 |       88474
    num misses                       |      104291 |      127650 |      991287 |       88474
    miss rate                        |      30.84% |       8.62% |     100.00% |     100.00%
    mpki                             |        0.17 |        0.18 |        2.64 |        0.35
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    61686780 |    99754161 |    41370792 |    41868591
    num cache misses                 |       21022 |     5896673 |        8853 |        2424
    miss rate                        |       0.03% |       5.91% |       0.02% |       0.01%
    mpki                             |        0.03 |        8.25 |        0.02 |        0.01
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   215119513 |   278129681 |   138438109 |    75636447
    num cache misses                 |     7688974 |     5107630 |    10640744 |     5660893
    miss rate                        |       3.57% |       1.84% |       7.69% |       7.48%
    mpki                             |       12.49 |        7.14 |       28.32 |       22.64
  Cache L2                           |             |             |             |            
    num cache accesses               |     8764690 |    11291055 |    12059310 |     7683011
    num cache misses                 |     5667461 |     3811246 |    10649509 |     5663317
    miss rate                        |      64.66% |      33.75% |      88.31% |      73.71%
    mpki                             |        9.20 |        5.33 |       28.34 |       22.65
  Cache L3                           |             |             |             |            
    num cache accesses               |     6761735 |     4099932 |    12059222 |     7683011
    num cache misses                 |     5554602 |     1686778 |    10640876 |     5661390
    miss rate                        |      82.15% |      41.14% |      88.24% |      73.69%
    mpki                             |        9.02 |        2.36 |       28.32 |       22.65
DRAM summary                         |             |             |             |            
  num dram accesses                  |    32863054 |           0 |           0 |           0
  average dram access latency (ns)   |      155.58 |         inf |         inf |         inf
  average dram queueing delay        |       45.57 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      83.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
