                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   671692131 |  1100463320 |   359711492 |   249999973
  Cycles                             |  4459721911 |  4459720800 |  4459720821 |  4459718942
  IPC                                |        0.15 |        0.25 |        0.08 |        0.06
  Time (ns)                          |  1486573970 |  1486573600 |  1486573607 |  1486572981
Branch predictor stats               |             |             |             |            
  num correct                        |    35763288 |   167160322 |     6942405 |    40600608
  num incorrect                      |      836603 |    36165501 |     9613263 |     2521753
  misprediction rate                 |       2.29% |      17.79% |      58.07% |       5.85%
  mpki                               |        1.25 |       32.86 |       26.72 |       10.09
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    67248407 |   152079622 |    39976928 |    41868591
    num misses                       |          47 |         254 |          14 |           4
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   235700969 |   427353926 |   133750639 |    75636447
    num misses                       |      360539 |     2269852 |      959274 |       88470
    miss rate                        |       0.15% |       0.53% |       0.72% |       0.12%
    mpki                             |        0.54 |        2.06 |        2.67 |        0.35
  L2 TLB                             |             |             |             |            
    num accesses                     |      360586 |     2270106 |      959288 |       88474
    num misses                       |      112980 |      210603 |      959277 |       88474
    miss rate                        |      31.33% |       9.28% |     100.00% |     100.00%
    mpki                             |        0.17 |        0.19 |        2.67 |        0.35
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    67248407 |   152079622 |    39976928 |    41868591
    num cache misses                 |       43255 |     8738195 |       17593 |        7922
    miss rate                        |       0.06% |       5.75% |       0.04% |       0.02%
    mpki                             |        0.06 |        7.94 |        0.05 |        0.03
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   235700969 |   427353926 |   133750639 |    75636447
    num cache misses                 |     8292339 |     9258261 |    10343938 |     5661997
    miss rate                        |       3.52% |       2.17% |       7.73% |       7.49%
    mpki                             |       12.35 |        8.41 |       28.76 |       22.65
  Cache L2                           |             |             |             |            
    num cache accesses               |     9407662 |    18380305 |    11771539 |     7689611
    num cache misses                 |     6332178 |     8357943 |    10361485 |     5669919
    miss rate                        |      67.31% |      45.47% |      88.02% |      73.73%
    mpki                             |        9.43 |        7.59 |       28.80 |       22.68
  Cache L3                           |             |             |             |            
    num cache accesses               |     7455554 |     8742825 |    11771493 |     7689611
    num cache misses                 |     5843203 |     2192180 |    10353338 |     5667322
    miss rate                        |      78.37% |      25.07% |      87.95% |      73.70%
    mpki                             |        8.70 |        1.99 |       28.78 |       22.67
DRAM summary                         |             |             |             |            
  num dram accesses                  |    33514392 |           0 |           0 |           0
  average dram access latency (ns)   |      662.51 |         inf |         inf |         inf
  average dram queueing delay        |      522.47 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      90.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
