                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   615650133 |  1615443885 |   605761289 |   907168855 |  1702643781 |  1920437787 |   363430290 |  1193318694 |  1965111036 |  3077433858 |   570999532 |  3310737627 |   249999886 |  2090566923 |  1496531561 |  1403112342
  Cycles                             |  2920688261 |  2920688010 |  2920688032 |  2920688418 |  2920687767 |  2920688024 |  2920688175 |  2920687817 |  2920688465 |  2920688356 |  2920687940 |  2920687802 |  2920684229 |  2920687729 |  2920687979 |  2920687800
  IPC                                |        0.21 |        0.55 |        0.21 |        0.31 |        0.58 |        0.66 |        0.12 |        0.41 |        0.67 |        1.05 |        0.20 |        1.13 |        0.09 |        0.72 |        0.51 |        0.48
  Time (ns)                          |   973562754 |   973562670 |   973562677 |   973562806 |   973562589 |   973562675 |   973562725 |   973562606 |   973562822 |   973562785 |   973562647 |   973562601 |   973561410 |   973562576 |   973562660 |   973562600
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    33064842 |   208155942 |    37249511 |    20455337 |   256884379 |    88424734 |     6983725 |     1549804 |   104619269 |   273282681 |    18148496 |   266267118 |    34399075 |   119284072 |    27538030 |   152196378
  num incorrect                      |      773595 |    48656767 |     1215604 |      363279 |    28823744 |      733567 |     9679375 |       26266 |    75310010 |    45664530 |     8619431 |    44744278 |     4720676 |    20169716 |     4224150 |    23274516
  misprediction rate                 |       2.29% |      18.95% |       3.16% |       1.74% |      10.09% |       0.82% |      58.09% |       1.67% |      41.86% |      14.32% |      32.20% |      14.39% |      12.07% |      14.46% |      13.30% |      13.26%
  mpki                               |        1.26 |       30.12 |        2.01 |        0.40 |       16.93 |        0.38 |       26.63 |        0.02 |       38.32 |       14.84 |       15.10 |       13.51 |       18.88 |        9.65 |        2.82 |       16.59
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
