                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   614780122 |  2032374476 |   610267938 |   905908505 |  1803694229 |  2054306339 |   363162641 |  1186173538 |  1947572626 |  3652289709 |   567784674 |  3593959530 |   249999886 |  2134782116 |  1988376847 |  1448622012
  Cycles                             |  2841193438 |  2841193624 |  2841193353 |  2841193200 |  2841193496 |  2841193910 |  2841193203 |  2841193604 |  2841193622 |  2841193149 |  2841193475 |  2841193149 |  2841189369 |  2841193335 |  2841193621 |  2841193213
  IPC                                |        0.22 |        0.72 |        0.21 |        0.32 |        0.63 |        0.72 |        0.13 |        0.42 |        0.69 |        1.29 |        0.20 |        1.26 |        0.09 |        0.75 |        0.70 |        0.51
  Time (ns)                          |   947064480 |   947064542 |   947064451 |   947064400 |   947064499 |   947064637 |   947064401 |   947064535 |   947064541 |   947064383 |   947064492 |   947064383 |   947063123 |   947064445 |   947064541 |   947064405
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    32957982 |   261815018 |    37500697 |    20419639 |   271704763 |    94599531 |     6980751 |     1545035 |   101799976 |   323678033 |    18097896 |   289049158 |    34399075 |   122537473 |    36508808 |   159109809
  num incorrect                      |      771150 |    61174579 |     1241882 |      362620 |    30638920 |      786262 |     9674617 |       26184 |    75308075 |    54061896 |     8588991 |    48556613 |     4720676 |    20727753 |     5493316 |    24209728
  misprediction rate                 |       2.29% |      18.94% |       3.21% |       1.74% |      10.13% |       0.82% |      58.09% |       1.67% |      42.52% |      14.31% |      32.18% |      14.38% |      12.07% |      14.47% |      13.08% |      13.21%
  mpki                               |        1.25 |       30.10 |        2.03 |        0.40 |       16.99 |        0.38 |       26.64 |        0.02 |       38.67 |       14.80 |       15.13 |       13.51 |       18.88 |        9.71 |        2.76 |       16.71
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
