                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   249999981 |   421289349 |   835263646 |   650047374
  Cycles                             |  2956544840 |  2956547360 |  2956547622 |  2956547305
  IPC                                |        0.08 |        0.14 |        0.28 |        0.22
  Time (ns)                          |   985514947 |   985515787 |   985515874 |   985515768
Branch predictor stats               |             |             |             |            
  num correct                        |    58565837 |    69632603 |     7575890 |    12249722
  num incorrect                      |     6500447 |     4400563 |       50734 |    17003102
  misprediction rate                 |       9.99% |       5.94% |       0.67% |      58.12%
  mpki                               |       26.00 |       10.45 |        0.06 |       26.16
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    21135842 |    70682295 |    73821222 |    71021506
    num misses                       |       17441 |           4 |           3 |          14
    miss rate                        |       0.08% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.07 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |    86633855 |   128409862 |   227417763 |   239060423
    num misses                       |     1331679 |      152964 |      406100 |     1682293
    miss rate                        |       1.54% |       0.12% |       0.18% |       0.70%
    mpki                             |        5.33 |        0.36 |        0.49 |        2.59
  L2 TLB                             |             |             |             |            
    num accesses                     |     1349120 |      152968 |      406103 |     1682307
    num misses                       |     1140468 |      152968 |      405796 |     1682288
    miss rate                        |      84.53% |     100.00% |      99.92% |     100.00%
    mpki                             |        4.56 |        0.36 |        0.49 |        2.59
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    21135842 |    70682295 |    73821222 |    71021506
    num cache misses                 |      344125 |        3639 |       56141 |        9464
    miss rate                        |       1.63% |       0.01% |       0.08% |       0.01%
    mpki                             |        1.38 |        0.01 |        0.07 |        0.01
  Cache L1-D                         |             |             |             |            
    num cache accesses               |    86633855 |   128409862 |   227417763 |   239060423
    num cache misses                 |     7410250 |     9786894 |    42836520 |    18383407
    miss rate                        |       8.55% |       7.62% |      18.84% |       7.69%
    mpki                             |       29.64 |       23.23 |       51.29 |       28.28
  Cache L2                           |             |             |             |            
    num cache accesses               |     7775612 |    13124176 |    42892669 |    20748132
    num cache misses                 |     7324645 |     9790533 |    26024812 |    18392724
    miss rate                        |      94.20% |      74.60% |      60.67% |      88.65%
    mpki                             |       29.30 |       23.24 |       31.16 |       28.29
  Cache L3                           |             |             |             |            
    num cache accesses               |     7346909 |    13124176 |    26024820 |    20747985
    num cache misses                 |     7320667 |     9789401 |    25968318 |    18386662
    miss rate                        |      99.64% |      74.59% |      99.78% |      88.62%
    mpki                             |       29.28 |       23.24 |       31.09 |       28.29
DRAM summary                         |             |             |             |            
  num dram accesses                  |    92143781 |           0 |           0 |           0
  average dram access latency (ns)   |      229.48 |         inf |         inf |         inf
  average dram queueing delay        |      119.47 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      93.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
