                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   249999981 |   357749885 |   667754378 |   497370584
  Cycles                             |  2560658104 |  2560663537 |  2560663205 |  2560662622
  IPC                                |        0.10 |        0.14 |        0.26 |        0.19
  Time (ns)                          |   853552701 |   853554512 |   853554402 |   853554207
Branch predictor stats               |             |             |             |            
  num correct                        |    58565837 |    58697991 |     6042829 |     9585636
  num incorrect                      |     6500447 |     3877641 |       40436 |    13263331
  misprediction rate                 |       9.99% |       6.20% |       0.66% |      58.05%
  mpki                               |       26.00 |       10.84 |        0.06 |       26.67
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    21135842 |    59224742 |    59015808 |    54657097
    num misses                       |       17441 |           4 |           3 |          14
    miss rate                        |       0.08% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.07 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |    86633855 |   110961997 |   181621136 |   186008576
    num misses                       |     1331685 |      130577 |      323500 |     1319801
    miss rate                        |       1.54% |       0.12% |       0.18% |       0.71%
    mpki                             |        5.33 |        0.36 |        0.48 |        2.65
  L2 TLB                             |             |             |             |            
    num accesses                     |     1349126 |      130581 |      323503 |     1319815
    num misses                       |     1140463 |      130581 |      323260 |     1319801
    miss rate                        |      84.53% |     100.00% |      99.92% |     100.00%
    mpki                             |        4.56 |        0.37 |        0.48 |        2.65
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    21135842 |    59224742 |    59015808 |    54657097
    num cache misses                 |      407967 |       11679 |      469077 |       40180
    miss rate                        |       1.93% |       0.02% |       0.79% |       0.07%
    mpki                             |        1.63 |        0.03 |        0.70 |        0.08
  Cache L1-D                         |             |             |             |            
    num cache accesses               |    86633855 |   110961997 |   181621136 |   186008576
    num cache misses                 |     7456470 |     8359664 |    34179115 |    14526976
    miss rate                        |       8.61% |       7.53% |      18.82% |       7.81%
    mpki                             |       29.83 |       23.37 |       51.19 |       29.21
  Cache L2                           |             |             |             |            
    num cache accesses               |     7884202 |    11479173 |    34649315 |    16434912
    num cache misses                 |     7536195 |     8371343 |    22537143 |    14567156
    miss rate                        |      95.59% |      72.93% |      65.04% |      88.64%
    mpki                             |       30.14 |       23.40 |       33.75 |       29.29
  Cache L3                           |             |             |             |            
    num cache accesses               |     7556531 |    11479173 |    22538266 |    16434912
    num cache misses                 |     7173507 |     8357495 |    20687314 |    14528766
    miss rate                        |      94.93% |      72.81% |      91.79% |      88.40%
    mpki                             |       28.69 |       23.36 |       30.98 |       29.21
DRAM summary                         |             |             |             |            
  num dram accesses                  |    75650240 |           0 |           0 |           0
  average dram access latency (ns)   |      241.28 |         inf |         inf |         inf
  average dram queueing delay        |      131.27 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      88.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
