                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   249999981 |   477328906 |   895225997 |   716025586
  Cycles                             |  6543885470 |  6543887923 |  6543888494 |  6543887905
  IPC                                |        0.04 |        0.07 |        0.14 |        0.11
  Time (ns)                          |  2181295157 |  2181295974 |  2181296165 |  2181295968
Branch predictor stats               |             |             |             |            
  num correct                        |    58565837 |    78925283 |     8112565 |    13624933
  num incorrect                      |     6500447 |     4730039 |       54308 |    18569825
  misprediction rate                 |       9.99% |       5.65% |       0.66% |      57.68%
  mpki                               |       26.00 |        9.91 |        0.06 |       25.93
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    21135842 |    82163175 |    79120475 |    77828114
    num misses                       |       17441 |           4 |           3 |          14
    miss rate                        |       0.08% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.07 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |    86633855 |   147654675 |   243645545 |   266403616
    num misses                       |     1331675 |      175393 |      434644 |     1913597
    miss rate                        |       1.54% |       0.12% |       0.18% |       0.72%
    mpki                             |        5.33 |        0.37 |        0.49 |        2.67
  L2 TLB                             |             |             |             |            
    num accesses                     |     1349116 |      175397 |      434647 |     1913611
    num misses                       |     1140463 |      175397 |      434318 |     1913589
    miss rate                        |      84.53% |     100.00% |      99.92% |     100.00%
    mpki                             |        4.56 |        0.37 |        0.49 |        2.67
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    21135842 |    82163175 |    79120475 |    77828114
    num cache misses                 |      369272 |        9528 |      278721 |       32688
    miss rate                        |       1.75% |       0.01% |       0.35% |       0.04%
    mpki                             |        1.48 |        0.02 |        0.31 |        0.05
  Cache L1-D                         |             |             |             |            
    num cache accesses               |    86633855 |   147654675 |   243645545 |   266403616
    num cache misses                 |     7428978 |    11225307 |    45877637 |    21002066
    miss rate                        |       8.58% |       7.60% |      18.83% |       7.88%
    mpki                             |       29.72 |       23.52 |       51.25 |       29.33
  Cache L2                           |             |             |             |            
    num cache accesses               |     7819017 |    15175429 |    46158013 |    23438921
    num cache misses                 |     7412395 |    11234835 |    28305446 |    21034615
    miss rate                        |      94.80% |      74.03% |      61.32% |      89.74%
    mpki                             |       29.65 |       23.54 |       31.62 |       29.38
  Cache L3                           |             |             |             |            
    num cache accesses               |     7434050 |    15175429 |    28307101 |    23438782
    num cache misses                 |     7176788 |    11226754 |    27947942 |    21007161
    miss rate                        |      96.54% |      73.98% |      98.73% |      89.63%
    mpki                             |       28.71 |       23.52 |       31.22 |       29.34
DRAM summary                         |             |             |             |            
  num dram accesses                  |   101308303 |           0 |           0 |           0
  average dram access latency (ns)   |      485.88 |         inf |         inf |         inf
  average dram queueing delay        |      365.86 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      92.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
