                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   514651166 |   249999989 |  3137078469 |  3034318887
  Cycles                             |  3332433615 |  3332431191 |  3332433481 |  3332433614
  IPC                                |        0.15 |        0.08 |        0.94 |        0.91
  Time (ns)                          |  1110811205 |  1110810397 |  1110811161 |  1110811205
Branch predictor stats               |             |             |             |            
  num correct                        |   120590203 |    43244780 |     4090756 |   463654576
  num incorrect                      |    13400199 |    11689069 |       69326 |   118987748
  misprediction rate                 |      10.00% |      21.28% |       1.67% |      20.42%
  mpki                               |       26.04 |       46.76 |        0.02 |       39.21
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    43502663 |    23761816 |   359328064 |   394817282
    num misses                       |       35217 |           3 |           6 |          19
    miss rate                        |       0.08% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.07 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   178282378 |    88558906 |  2346729426 |  1021349459
    num misses                       |     2718257 |    21160459 |    84767853 |     4526957
    miss rate                        |       1.52% |      23.89% |       3.61% |       0.44%
    mpki                             |        5.28 |       84.64 |       27.02 |        1.49
  L2 TLB                             |             |             |             |            
    num accesses                     |     2753474 |    21160462 |    84767859 |     4526976
    num misses                       |     2329386 |    10898520 |    60617663 |      947228
    miss rate                        |      84.60% |      51.50% |      71.51% |      20.92%
    mpki                             |        4.53 |       43.59 |       19.32 |        0.31
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    43502663 |    23761816 |   359328064 |   394817282
    num cache misses                 |      684704 |       27682 |      187985 |     1596692
    miss rate                        |       1.57% |       0.12% |       0.05% |       0.40%
    mpki                             |        1.33 |        0.11 |        0.06 |        0.53
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   178282378 |    88558906 |  2346729426 |  1021349459
    num cache misses                 |    15247066 |    28773101 |    25634816 |     4044935
    miss rate                        |       8.55% |      32.49% |       1.09% |       0.40%
    mpki                             |       29.63 |      115.09 |        8.17 |        1.33
  Cache L2                           |             |             |             |            
    num cache accesses               |    15970533 |    32554852 |    25832305 |     6550124
    num cache misses                 |    14979399 |    18920960 |    17071748 |     1965938
    miss rate                        |      93.79% |      58.12% |      66.09% |      30.01%
    mpki                             |       29.11 |       75.68 |        5.44 |        0.65
  Cache L3                           |             |             |             |            
    num cache accesses               |    15020124 |    22773119 |    17123259 |     2896222
    num cache misses                 |    14771787 |    17664696 |    16727980 |     1963702
    miss rate                        |      98.35% |      77.57% |      97.69% |      67.80%
    mpki                             |       28.70 |       70.66 |        5.33 |        0.65
DRAM summary                         |             |             |             |            
  num dram accesses                  |    61431231 |           0 |           0 |           0
  average dram access latency (ns)   |      125.33 |         inf |         inf |         inf
  average dram queueing delay        |       15.32 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      55.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
