                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   530362444 |   249999989 |  3099644460 |  3106583493
  Cycles                             |  3381042475 |  3381038136 |  3381039762 |  3381040404
  IPC                                |        0.16 |        0.07 |        0.92 |        0.92
  Time (ns)                          |  1127014159 |  1127012712 |  1127013254 |  1127013468
Branch predictor stats               |             |             |             |            
  num correct                        |   124290768 |    43244780 |     4038436 |   474873496
  num incorrect                      |    13797666 |    11689069 |       68438 |   121816284
  misprediction rate                 |       9.99% |      21.28% |       1.67% |      20.42%
  mpki                               |       26.02 |       46.76 |        0.02 |       39.21
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    44806349 |    23761816 |   355050429 |   404202853
    num misses                       |       36558 |           3 |           6 |          19
    miss rate                        |       0.08% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.07 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   183742061 |    88558906 |  2318691570 |  1045590419
    num misses                       |     2815226 |    21160293 |    83688950 |     4630017
    miss rate                        |       1.53% |      23.89% |       3.61% |       0.44%
    mpki                             |        5.31 |       84.64 |       27.00 |        1.49
  L2 TLB                             |             |             |             |            
    num accesses                     |     2851784 |    21160296 |    83688956 |     4630036
    num misses                       |     2412119 |    10898223 |    59820771 |      969193
    miss rate                        |      84.58% |      51.50% |      71.48% |      20.93%
    mpki                             |        4.55 |       43.59 |       19.30 |        0.31
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    44806349 |    23761816 |   355050429 |   404202853
    num cache misses                 |      855241 |      195186 |     1576817 |     2355259
    miss rate                        |       1.91% |       0.82% |       0.44% |       0.58%
    mpki                             |        1.61 |        0.78 |        0.51 |        0.76
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   183742061 |    88558906 |  2318691570 |  1045590419
    num cache misses                 |    15813789 |    28782727 |    25533432 |     4545711
    miss rate                        |       8.61% |      32.50% |       1.10% |       0.43%
    mpki                             |       29.82 |      115.13 |        8.24 |        1.46
  Cache L2                           |             |             |             |            
    num cache accesses               |    16708351 |    32757228 |    27132010 |     7812474
    num cache misses                 |    15982425 |    24452656 |    19028512 |     3413648
    miss rate                        |      95.66% |      74.65% |      70.13% |      43.69%
    mpki                             |       30.13 |       97.81 |        6.14 |        1.10
  Cache L3                           |             |             |             |            
    num cache accesses               |    16022862 |    28258225 |    19050773 |     4343162
    num cache misses                 |    14970629 |    18183079 |    16625481 |     1858674
    miss rate                        |      93.43% |      64.35% |      87.27% |      42.80%
    mpki                             |       28.23 |       72.73 |        5.36 |        0.60
DRAM summary                         |             |             |             |            
  num dram accesses                  |    61907035 |           0 |           0 |           0
  average dram access latency (ns)   |      128.28 |         inf |         inf |         inf
  average dram queueing delay        |       18.27 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      54.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
