                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   544031984 |   249999989 |  3154822760 |  3073618802
  Cycles                             |  3400829904 |  3400825825 |  3400828630 |  3400828588
  IPC                                |        0.16 |        0.07 |        0.93 |        0.90
  Time (ns)                          |  1133609968 |  1133608608 |  1133609543 |  1133609529
Branch predictor stats               |             |             |             |            
  num correct                        |   127492369 |    43244780 |     4116267 |   469830251
  num incorrect                      |    14158053 |    11689069 |       69758 |   120492619
  misprediction rate                 |      10.00% |      21.28% |       1.67% |      20.41%
  mpki                               |       26.02 |       46.76 |        0.02 |       39.20
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    45962849 |    23761816 |   361353678 |   399919875
    num misses                       |       37507 |           3 |           6 |          19
    miss rate                        |       0.08% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.07 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   188472816 |    88558906 |  2360026842 |  1034489768
    num misses                       |     2887494 |    21160177 |    85276258 |     4578656
    miss rate                        |       1.53% |      23.89% |       3.61% |       0.44%
    mpki                             |        5.31 |       84.64 |       27.03 |        1.49
  L2 TLB                             |             |             |             |            
    num accesses                     |     2925001 |    21160180 |    85276264 |     4578675
    num misses                       |     2474699 |    10898506 |    60997202 |      958520
    miss rate                        |      84.61% |      51.50% |      71.53% |      20.93%
    mpki                             |        4.55 |       43.59 |       19.33 |        0.31
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    45962849 |    23761816 |   361353678 |   399919875
    num cache misses                 |      876354 |      195976 |     1625906 |     2431022
    miss rate                        |       1.91% |       0.82% |       0.45% |       0.61%
    mpki                             |        1.61 |        0.78 |        0.52 |        0.79
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   188472816 |    88558906 |  2360026842 |  1034489768
    num cache misses                 |    16223858 |    28785695 |    26009534 |     4584041
    miss rate                        |       8.61% |      32.50% |       1.10% |       0.44%
    mpki                             |       29.82 |      115.14 |        8.24 |        1.49
  Cache L2                           |             |             |             |            
    num cache accesses               |    17137929 |    32739177 |    27661306 |     7936785
    num cache misses                 |    16397406 |    24473864 |    19422331 |     3584028
    miss rate                        |      95.68% |      74.75% |      70.21% |      45.16%
    mpki                             |       30.14 |       97.90 |        6.16 |        1.17
  Cache L3                           |             |             |             |            
    num cache accesses               |    16436144 |    28257502 |    19448696 |     4524454
    num cache misses                 |    14993783 |    18360280 |    16891330 |     2072782
    miss rate                        |      91.22% |      64.97% |      86.85% |      45.81%
    mpki                             |       27.56 |       73.44 |        5.35 |        0.67
DRAM summary                         |             |             |             |            
  num dram accesses                  |    62692554 |           0 |           0 |           0
  average dram access latency (ns)   |      126.26 |         inf |         inf |         inf
  average dram queueing delay        |       16.25 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      55.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
