                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   493172185 |   249999989 |  2976307363 |  2850284464
  Cycles                             |  3191853104 |  3191849011 |  3191851679 |  3191851819
  IPC                                |        0.15 |        0.08 |        0.93 |        0.89
  Time (ns)                          |  1063951035 |  1063949670 |  1063950560 |  1063950606
Branch predictor stats               |             |             |             |            
  num correct                        |   115503241 |    43244780 |     3879254 |   435652916
  num incorrect                      |    12816870 |    11689069 |       65742 |   111782202
  misprediction rate                 |       9.99% |      21.28% |       1.67% |      20.42%
  mpki                               |       25.99 |       46.76 |        0.02 |       39.22
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    41710850 |    23761816 |   340918348 |   370863433
    num misses                       |       34659 |           3 |           6 |          19
    miss rate                        |       0.08% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.07 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   170938836 |    88558906 |  2226444265 |   959313689
    num misses                       |     2643733 |    21160404 |    80323952 |     4249066
    miss rate                        |       1.55% |      23.89% |       3.61% |       0.44%
    mpki                             |        5.36 |       84.64 |       26.99 |        1.49
  L2 TLB                             |             |             |             |            
    num accesses                     |     2678392 |    21160407 |    80323958 |     4249085
    num misses                       |     2263306 |    10898278 |    57458763 |      889384
    miss rate                        |      84.50% |      51.50% |      71.53% |      20.93%
    mpki                             |        4.59 |       43.59 |       19.31 |        0.31
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    41710850 |    23761816 |   340918348 |   370863433
    num cache misses                 |      732008 |       60985 |      384390 |     1649079
    miss rate                        |       1.75% |       0.26% |       0.11% |       0.44%
    mpki                             |        1.48 |        0.24 |        0.13 |        0.58
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   170938836 |    88558906 |  2226444265 |   959313689
    num cache misses                 |    14674679 |    28766890 |    24381436 |     3919472
    miss rate                        |       8.58% |      32.48% |       1.10% |       0.41%
    mpki                             |       29.76 |      115.07 |        8.19 |        1.38
  Cache L2                           |             |             |             |            
    num cache accesses               |    15454945 |    32495779 |    24781538 |     6438399
    num cache misses                 |    14618373 |    20364673 |    16654081 |     2126404
    miss rate                        |      94.59% |      62.67% |      67.20% |      33.03%
    mpki                             |       29.64 |       81.46 |        5.60 |        0.75
  Cache L3                           |             |             |             |            
    num cache accesses               |    14668539 |    24096956 |    16670228 |     3016457
    num cache misses                 |    14079077 |    16754711 |    15772556 |     2073512
    miss rate                        |      95.98% |      69.53% |      94.62% |      68.74%
    mpki                             |       28.55 |       67.02 |        5.30 |        0.73
DRAM summary                         |             |             |             |            
  num dram accesses                  |    58644891 |           0 |           0 |           0
  average dram access latency (ns)   |      126.13 |         inf |         inf |         inf
  average dram queueing delay        |       16.12 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      55.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
