                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   249999981 |  1016199756 |  1592717458 |   403583030
  Cycles                             |  1785608742 |  1785610050 |  1785610366 |  1785610134
  IPC                                |        0.14 |        0.57 |        0.89 |        0.23
  Time (ns)                          |   595202914 |   595203350 |   595203455 |   595203378
Branch predictor stats               |             |             |             |            
  num correct                        |    58565837 |    54768894 |     2079445 |    66650858
  num incorrect                      |     6500447 |     1280740 |       35240 |     4199522
  misprediction rate                 |       9.99% |       2.29% |       1.67% |       5.93%
  mpki                               |       26.00 |        1.26 |        0.02 |       10.41
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    21135842 |   101592025 |   182426125 |    67499502
    num misses                       |       17441 |          47 |           6 |           4
    miss rate                        |       0.08% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.07 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |    86633855 |   352283595 |  1191476751 |   123535129
    num misses                       |     1331682 |      552353 |    43121827 |      146744
    miss rate                        |       1.54% |       0.16% |       3.62% |       0.12%
    mpki                             |        5.33 |        0.54 |       27.07 |        0.36
  L2 TLB                             |             |             |             |            
    num accesses                     |     1349123 |      552400 |    43121833 |      146748
    num misses                       |     1140468 |      169049 |    30844350 |      146748
    miss rate                        |      84.53% |      30.60% |      71.53% |     100.00%
    mpki                             |        4.56 |        0.17 |       19.37 |        0.36
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    21135842 |   101592025 |   182426125 |    67499502
    num cache misses                 |      402904 |       99624 |      769359 |       11299
    miss rate                        |       1.91% |       0.10% |       0.42% |       0.02%
    mpki                             |        1.61 |        0.10 |        0.48 |        0.03
  Cache L1-D                         |             |             |             |            
    num cache accesses               |    86633855 |   352283595 |  1191476751 |   123535129
    num cache misses                 |     7451760 |    12503795 |    13125236 |     9394183
    miss rate                        |       8.60% |       3.55% |       1.10% |       7.60%
    mpki                             |       29.81 |       12.30 |        8.24 |       23.28
  Cache L2                           |             |             |             |            
    num cache accesses               |     7874095 |    14455890 |    13895865 |    12652304
    num cache misses                 |     7525897 |    10204778 |     9733545 |     9405482
    miss rate                        |      95.58% |      70.59% |      70.05% |      74.34%
    mpki                             |       30.10 |       10.04 |        6.11 |       23.30
  Cache L3                           |             |             |             |            
    num cache accesses               |     7545891 |    12085720 |     9735045 |    12652304
    num cache misses                 |     7264518 |     9062217 |     8526718 |     9388386
    miss rate                        |      96.27% |      74.98% |      87.59% |      74.20%
    mpki                             |       29.06 |        8.92 |        5.35 |       23.26
DRAM summary                         |             |             |             |            
  num dram accesses                  |    43822723 |           0 |           0 |           0
  average dram access latency (ns)   |      141.81 |         inf |         inf |         inf
  average dram queueing delay        |       31.80 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      73.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
