                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   249999981 |   994054406 |  1376874264 |   427306789
  Cycles                             |  1913658052 |  1913661599 |  1913661046 |  1913661171
  IPC                                |        0.13 |        0.52 |        0.72 |        0.22
  Time (ns)                          |   637886017 |   637887200 |   637887015 |   637887057
Branch predictor stats               |             |             |             |            
  num correct                        |    58565837 |    53103228 |     1790181 |    70726683
  num incorrect                      |     6500447 |     1242155 |       30338 |     4400563
  misprediction rate                 |       9.99% |       2.29% |       1.67% |       5.86%
  mpki                               |       26.00 |        1.25 |        0.02 |       10.30
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    21135842 |    98964555 |   157725518 |    71776375
    num misses                       |       17441 |          47 |           6 |           4
    miss rate                        |       0.08% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.07 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |    86633855 |   344926101 |  1029935032 |   130050982
    num misses                       |     1331616 |      532179 |    37169645 |      155100
    miss rate                        |       1.54% |       0.15% |       3.61% |       0.12%
    mpki                             |        5.33 |        0.54 |       27.00 |        0.36
  L2 TLB                             |             |             |             |            
    num accesses                     |     1349057 |      532226 |    37169651 |      155104
    num misses                       |     1140458 |      162986 |    26605220 |      155104
    miss rate                        |      84.54% |      30.62% |      71.58% |     100.00%
    mpki                             |        4.56 |        0.16 |       19.32 |        0.36
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    21135842 |    98964555 |   157725518 |    71776375
    num cache misses                 |      439593 |       88210 |      901899 |        9812
    miss rate                        |       2.08% |       0.09% |       0.57% |       0.01%
    mpki                             |        1.76 |        0.09 |        0.66 |        0.02
  Cache L1-D                         |             |             |             |            
    num cache accesses               |    86633855 |   344926101 |  1029935032 |   130050982
    num cache misses                 |     7499497 |    12257499 |    11427487 |     9928090
    miss rate                        |       8.66% |       3.55% |       1.11% |       7.63%
    mpki                             |       30.00 |       12.33 |        8.30 |       23.23
  Cache L2                           |             |             |             |            
    num cache accesses               |     7984105 |    14334497 |    12434856 |    13271565
    num cache misses                 |     7629217 |    10154006 |     9629796 |     9937902
    miss rate                        |      95.56% |      70.84% |      77.44% |      74.88%
    mpki                             |       30.52 |       10.21 |        6.99 |       23.26
  Cache L3                           |             |             |             |            
    num cache accesses               |     7675653 |    12315402 |     9735479 |    13271565
    num cache misses                 |     7623301 |    10051316 |     9444733 |     9935728
    miss rate                        |      99.32% |      81.62% |      97.01% |      74.86%
    mpki                             |       30.49 |       10.11 |        6.86 |       23.25
DRAM summary                         |             |             |             |            
  num dram accesses                  |    46965132 |           0 |           0 |           0
  average dram access latency (ns)   |      145.17 |         inf |         inf |         inf
  average dram queueing delay        |       35.16 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      73.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
