                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   249999981 |   999811532 |  1464153177 |   407231695
  Cycles                             |  1827243979 |  1827246000 |  1827245973 |  1827246291
  IPC                                |        0.14 |        0.55 |        0.80 |        0.22
  Time (ns)                          |   609081327 |   609082000 |   609081991 |   609082097
Branch predictor stats               |             |             |             |            
  num correct                        |    58565837 |    53298053 |     1903105 |    67253661
  num incorrect                      |     6500447 |     1247044 |       32252 |     4250800
  misprediction rate                 |       9.99% |       2.29% |       1.67% |       5.94%
  mpki                               |       26.00 |        1.25 |        0.02 |       10.44
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    21135842 |    99552130 |   167725211 |    68153582
    num misses                       |       17441 |          47 |           6 |           4
    miss rate                        |       0.08% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.07 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |    86633855 |   346512473 |  1095216274 |   124541888
    num misses                       |     1331638 |      532524 |    39438067 |      148022
    miss rate                        |       1.54% |       0.15% |       3.60% |       0.12%
    mpki                             |        5.33 |        0.53 |       26.94 |        0.36
  L2 TLB                             |             |             |             |            
    num accesses                     |     1349079 |      532571 |    39438073 |      148026
    num misses                       |     1140464 |      163088 |    28187015 |      148026
    miss rate                        |      84.54% |      30.62% |      71.47% |     100.00%
    mpki                             |        4.56 |        0.16 |       19.25 |        0.36
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    21135842 |    99552130 |   167725211 |    68153582
    num cache misses                 |      404311 |       78510 |      615446 |        9918
    miss rate                        |       1.91% |       0.08% |       0.37% |       0.01%
    mpki                             |        1.62 |        0.08 |        0.42 |        0.02
  Cache L1-D                         |             |             |             |            
    num cache accesses               |    86633855 |   346512473 |  1095216274 |   124541888
    num cache misses                 |     7466507 |    12254948 |    12143807 |     9476835
    miss rate                        |       8.62% |       3.54% |       1.11% |       7.61%
    mpki                             |       29.87 |       12.26 |        8.29 |       23.27
  Cache L2                           |             |             |             |            
    num cache accesses               |     7905401 |    14193641 |    12794363 |    12755736
    num cache misses                 |     7540139 |     9676352 |     8862199 |     9486753
    miss rate                        |      95.38% |      68.17% |      69.27% |      74.37%
    mpki                             |       30.16 |        9.68 |        6.05 |       23.30
  Cache L3                           |             |             |             |            
    num cache accesses               |     7575902 |    11631036 |     8897513 |    12755736
    num cache misses                 |     7403694 |     9335604 |     8548524 |     9484993
    miss rate                        |      97.73% |      80.26% |      96.08% |      74.36%
    mpki                             |       29.61 |        9.34 |        5.84 |       23.29
DRAM summary                         |             |             |             |            
  num dram accesses                  |    44297976 |           0 |           0 |           0
  average dram access latency (ns)   |      142.57 |         inf |         inf |         inf
  average dram queueing delay        |       32.56 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      72.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
